extension,count_total,count_pldb,count_linguist,count_wikipedia,count_esolang,count_hyperpolyglot,count_pygments,count_rosettacode,sample_lang
.gmx,1,1,1,0,0,1,1,0,xml
.gn,1,0,1,0,0,1,0,0,GN
.gni,1,0,1,0,0,1,0,0,GN
.gnu,1,1,1,0,0,1,1,1,gnuplot
.gnuplot,1,1,1,0,0,1,1,1,gnuplot
.go,1,1,1,0,0,1,1,1,go
.god,1,1,1,0,0,1,1,1,ruby
.gohtml,1,0,1,0,0,0,1,0,Go Template
.golo,1,1,1,0,0,1,1,1,golo
.gotmpl,1,0,1,0,0,0,1,0,Go Template
.gp,1,1,1,0,0,1,1,1,gnuplot
.gpb,1,1,1,0,0,1,1,0,gerber-image
.gpt,1,1,1,0,0,1,1,0,gerber-image
.gpx,1,1,1,0,0,1,1,0,xml
.gql,1,0,1,0,0,1,1,0,GraphQL
.grace,1,1,1,0,0,1,0,0,grace
.gradle,1,1,1,0,0,1,1,0,gradle
.gradle.kts,1,0,1,0,0,0,0,0,Gradle Kotlin DSL
.graphql,1,0,1,0,0,1,1,0,GraphQL
.graphqls,1,0,1,0,0,1,1,0,GraphQL
.groovy,1,1,1,0,0,1,1,1,groovy
.grt,1,1,1,0,0,1,1,1,groovy
.grxml,1,1,1,0,0,1,1,0,xml
.gsc,1,0,1,0,0,0,0,0,GSC
.gsh,1,0,1,0,0,0,0,0,GSC
.gshader,1,1,1,0,0,1,1,1,glsl
.gsp,1,1,1,0,0,1,1,0,groovy-server-pages
.gsx,1,1,1,0,0,1,1,1,gosu
.gtl,1,1,1,0,0,1,1,0,gerber-image
.gto,1,1,1,0,0,1,1,0,gerber-image
.gtp,1,1,1,0,0,1,1,0,gerber-image
.gtpl,1,1,1,0,0,1,1,1,groovy
.gv,1,0,1,0,0,1,1,0,Graphviz (DOT)
.gvy,1,1,1,0,0,1,1,1,groovy
.gyp,1,0,1,0,1,1,1,1,Python
.gypi,1,0,1,0,1,1,1,1,Python
.h++,1,0,1,0,1,1,1,1,C++
.h.in,1,1,1,0,1,1,1,1,C
.ha,1,1,1,0,0,0,1,1,hare
.hack,1,1,1,0,0,1,1,1,hack
.haml,1,1,1,0,0,1,1,0,haml
.haml.deface,1,1,1,0,0,1,1,0,haml
.handlebars,1,1,1,0,0,1,1,0,handlebars
.har,1,0,1,0,0,1,1,0,JSON
.hats,1,1,1,0,0,1,0,1,ats
.hb,1,1,1,0,0,1,0,1,harbour
.hbs,1,1,1,0,0,1,1,0,handlebars
.hc,1,1,1,0,0,1,0,1,holyc
.hcl,1,1,1,0,0,1,1,1,hcl
.heex,1,0,1,0,0,1,1,0,HTML+EEX
.hhi,1,1,1,0,0,1,1,1,hack
.hic,1,1,1,1,0,1,1,1,clojure
.hip,1,0,1,0,0,0,0,0,HIP
.hlean,1,1,1,0,0,1,1,1,lean
.hlsl,1,1,1,0,0,1,1,0,hlsl
.hlsli,1,1,1,0,0,1,1,0,hlsl
.hocon,1,1,1,0,0,0,0,0,hocon
.hoon,1,1,1,0,1,0,0,1,hoon
.hpp,1,0,1,0,1,1,1,1,C++
.hqf,1,0,1,0,0,1,0,0,SQF
.hql,1,1,1,0,0,1,0,0,hiveql
.hrl,1,1,1,0,0,1,1,1,erlang
.hs,1,1,1,0,1,1,1,1,haskell
.hs-boot,1,1,1,0,1,1,1,1,haskell
.hsc,1,1,1,0,1,1,1,1,haskell
.hta,1,1,1,0,0,1,1,0,html
.htm,1,1,1,0,0,1,1,0,html
.html.eex,1,0,1,0,0,1,1,0,HTML+EEX
.html.hl,1,1,1,0,0,1,1,0,html
.html.tmpl,1,0,1,0,0,0,1,0,Go Template
.http,1,1,1,0,0,1,1,0,http
.hurl,1,1,1,0,0,0,0,0,hurl
.hx,1,1,1,1,0,1,1,1,haxe
.hxml,1,1,1,0,0,1,1,0,hxml
.hxsl,1,1,1,1,0,1,1,1,haxe
.hxx,1,0,1,0,1,1,1,1,C++
.hy,1,1,1,0,0,1,1,1,hy
.hzp,1,1,1,0,0,1,1,0,xml
.i3,1,0,1,0,0,1,0,1,Modula-3
.i7x,1,0,1,0,0,1,1,1,Inform 7
.ical,1,0,1,0,0,0,0,0,iCalendar
.iced,1,1,1,0,0,1,1,1,coffeescript
.icl,1,1,1,0,0,1,1,1,clean
.ics,1,0,1,0,0,0,0,0,iCalendar
.idc,1,1,1,0,1,1,1,1,C
.idr,1,1,1,0,0,1,1,1,idris
.ig,1,0,1,0,0,1,0,1,Modula-3
.ihlp,1,1,1,0,0,1,1,1,stata
.ijm,1,0,1,0,0,0,0,0,ImageJ Macro
.ijs,1,1,1,0,1,1,1,1,j
.ik,1,1,1,0,0,1,1,1,ioke
.ily,1,1,1,0,0,1,1,0,lilypond
.imba,1,1,1,0,0,0,0,0,imba
.iml,1,1,1,0,0,1,1,0,xml
.ini,1,1,1,0,0,1,1,0,ini
.ink,1,1,1,0,0,0,0,0,ink
.inl,1,0,1,0,1,1,1,1,C++
.ino,1,0,1,0,1,1,1,1,C++
.ins,1,1,1,0,0,1,1,1,tex
.intr,1,1,1,0,0,1,1,1,dylan
.io,1,1,1,0,0,1,1,1,io
.iol,1,1,1,0,0,1,0,0,jolie
.ipf,1,1,1,0,0,1,1,0,igor-pro
.ipp,1,0,1,0,1,1,1,1,C++
.ipynb,1,1,1,0,0,1,0,0,jupyter-notebook
.irclog,1,1,1,0,0,1,1,0,irc-log
.isl,1,1,1,0,0,1,0,0,inno-setup
.ispc,1,0,1,0,0,0,0,0,ISPC
.iss,1,1,1,0,0,1,0,0,inno-setup
.iuml,1,1,1,0,0,1,0,0,plantuml
.ivy,1,1,1,0,0,1,1,0,xml
.ixx,1,0,1,0,1,1,1,1,C++
.j2,1,1,1,0,0,1,1,1,jinja
.jac,1,0,1,0,0,0,0,0,Jac
.jade,1,1,1,0,0,1,1,0,pug
.jai,1,1,1,0,0,0,0,0,jai
.jake,1,1,1,1,0,1,1,1,javascript
.janet,1,1,1,0,0,0,1,1,janet
.jav,1,1,1,0,1,1,1,1,java
.java,1,1,1,0,1,1,1,1,java
.javascript,1,1,1,1,0,1,1,1,javascript
.jbuilder,1,1,1,0,0,1,1,1,ruby
.jcl,1,1,1,0,0,0,1,1,jcl
.jelly,1,1,1,0,0,1,1,0,xml
.jflex,1,1,1,0,0,1,0,0,jflex
.jinja,1,1,1,0,0,1,1,1,jinja
.jinja2,1,1,1,0,0,1,1,1,jinja
.jison,1,1,1,0,0,1,0,0,jison
.jisonlex,1,1,1,0,0,1,0,0,jison-lex
.jl,1,1,1,0,0,1,1,1,julia
.js,1,1,1,1,0,1,1,1,javascript
.js.erb,1,0,1,0,0,1,1,0,JavaScript+ERB
.jsb,1,1,1,1,0,1,1,1,javascript
.jscad,1,1,1,1,0,1,1,1,javascript
.jsfl,1,1,1,1,0,1,1,1,javascript
.jsh,1,1,1,0,1,1,1,1,java
.jslib,1,1,1,1,0,1,1,1,javascript
.jsm,1,1,1,1,0,1,1,1,javascript
.json-tmlanguage,1,0,1,0,0,1,1,0,JSON
.json.example,1,0,1,0,0,1,1,0,JSON
.json5,1,1,1,0,0,1,1,0,json5
.jsonc,1,0,1,0,0,1,0,0,JSON with Comments
.jsonl,1,0,1,0,0,1,1,0,JSON
.jsonld,1,0,1,0,0,1,1,0,JSONLD
.jsonnet,1,0,1,0,0,1,1,0,Jsonnet
.jsp,1,1,1,0,0,1,1,0,java-server-pages
.jspre,1,1,1,1,0,1,1,1,javascript
.jsproj,1,1,1,0,0,1,1,0,xml
.jss,1,1,1,1,0,1,1,1,javascript
.jst,1,1,1,0,0,1,0,0,ejs
.jsx,1,1,1,1,0,1,1,1,javascript
.jte,1,0,1,0,0,0,0,0,Java Template Engine
.just,1,1,1,0,1,0,0,0,just
.kak,1,0,1,0,0,0,0,0,KakouneScript
.kdl,1,1,1,0,0,0,0,0,kdl
.kicad_mod,1,0,1,0,0,1,0,0,KiCad Layout
.kicad_pcb,1,0,1,0,0,1,0,0,KiCad Layout
.kicad_sch,1,0,1,0,0,1,0,0,KiCad Schematic
.kicad_sym,1,0,1,0,0,1,0,0,KiCad Schematic
.kicad_wks,1,0,1,0,0,1,0,0,KiCad Layout
.kid,1,1,1,0,0,1,1,0,genshi
.kit,1,1,1,0,0,1,0,0,kit
.kk,1,1,1,0,0,0,1,1,koka
.kml,1,1,1,0,0,1,1,0,xml
.kojo,1,1,1,0,0,1,1,1,scala
.kql,1,0,1,0,0,0,1,0,Kusto
.krl,1,1,1,0,0,1,0,0,krl
.ksh,1,0,1,0,0,1,1,0,Shell
.ksy,1,0,1,0,0,0,0,0,Kaitai Struct
.kt,1,1,1,1,0,1,1,1,kotlin
.ktm,1,1,1,1,0,1,1,1,kotlin
.kts,1,1,1,1,0,1,1,1,kotlin
.kv,1,0,1,0,0,0,0,0,kvlang
.lagda,1,1,1,0,0,1,1,0,literate-agda
.langium,1,0,1,0,0,0,0,0,Langium
.lark,1,0,1,0,0,0,0,0,Lark
.las,1,1,1,0,0,1,1,1,lasso
.lasso,1,1,1,0,0,1,1,1,lasso
.lasso8,1,1,1,0,0,1,1,1,lasso
.lasso9,1,1,1,0,0,1,1,1,lasso
.latte,1,1,1,0,0,1,0,0,latte
.launch,1,1,1,0,0,1,1,0,xml
.lbx,1,1,1,0,0,1,1,1,tex
.ld,1,1,1,0,0,1,0,0,linker-script
.lds,1,1,1,0,0,1,0,0,linker-script
.leex,1,0,1,0,0,1,1,0,HTML+EEX
.lektorproject,1,1,1,0,0,1,1,0,ini
.leo,1,0,1,0,0,0,0,0,Leo
.less,1,1,1,0,0,1,1,0,less
.lex,1,1,1,0,0,1,0,0,lex
.lfe,1,1,1,0,0,1,0,1,lfe
.lgt,1,1,1,0,0,1,1,1,logtalk
.lhs,1,1,1,0,0,1,1,0,literate-haskell
.libsonnet,1,0,1,0,0,1,1,0,Jsonnet
.lid,1,1,1,0,0,1,1,1,dylan
.lidr,1,1,1,0,0,1,1,1,idris
.ligo,1,0,1,0,0,0,0,0,LigoLANG
.linq,1,0,1,0,1,1,1,1,C#
.liq,1,0,1,0,0,0,0,0,Liquidsoap
.liquid,1,1,1,0,1,1,1,0,liquid
.litcoffee,1,1,1,0,0,1,0,0,literate-coffeescript
.livecodescript,1,0,1,0,0,0,0,0,LiveCode Script
.livemd,1,1,1,0,0,1,1,0,markdown
.lkml,1,1,1,0,0,1,0,0,lookml
.ll,1,0,1,0,0,1,1,1,LLVM
.lmi,1,0,1,0,1,1,1,1,Python
.logtalk,1,1,1,0,0,1,1,1,logtalk
.lol,1,1,1,0,1,1,0,1,lolcode
.lookml,1,1,1,0,0,1,0,0,lookml
.lpr,1,1,1,0,0,1,1,1,pascal
.lsl,1,1,1,0,0,1,1,1,lsl
.lslp,1,1,1,0,0,1,1,1,lsl
.ltx,1,1,1,0,0,1,1,1,tex
.lua,1,1,1,1,0,1,1,1,lua
.luau,1,1,1,0,1,0,1,0,luau
.lvclass,1,1,1,0,0,1,0,1,labview
.lvlib,1,1,1,0,0,1,0,1,labview
.lvproj,1,1,1,0,0,1,0,1,labview
.ly,1,1,1,0,0,1,1,0,lilypond
.m2,1,0,1,0,0,0,1,0,Macaulay2
.m3,1,0,1,0,0,1,0,1,Modula-3
.m3u,1,0,1,0,0,0,0,0,M3U
.m3u8,1,0,1,0,0,0,0,0,M3U
.ma,1,0,1,0,0,1,1,1,Wolfram Language
.mak,1,0,1,0,0,1,1,1,Makefile
.make,1,0,1,0,0,1,1,1,Makefile
.makefile,1,0,1,0,0,1,1,1,Makefile
.mako,1,1,1,0,0,1,1,0,mako
.mao,1,1,1,0,0,1,1,0,mako
.markdown,1,1,1,0,0,1,1,0,markdown
.marko,1,1,1,0,0,1,0,0,marko
.mat,1,1,1,0,0,1,1,0,unity3d-asset
.mata,1,1,1,0,0,1,1,1,stata
.matah,1,1,1,0,0,1,1,1,stata
.mathematica,1,0,1,0,0,1,1,1,Wolfram Language
.matlab,1,1,1,0,0,1,1,1,matlab
.mawk,1,1,1,0,0,1,1,1,awk
.maxhelp,1,1,1,0,0,1,0,0,max
.maxpat,1,1,1,0,0,1,0,0,max
.maxproj,1,1,1,0,0,1,0,0,max
.mbox,1,0,1,0,0,1,1,0,E-mail
.mbt,1,0,1,0,0,0,0,1,MoonBit
.mcfunction,1,0,1,0,0,1,1,0,mcfunction
.mch,1,0,1,0,0,0,0,0,B (Formal Method)
.mcmeta,1,0,1,0,0,1,1,0,JSON
.mcr,1,1,1,0,0,1,1,1,maxscript
.md2,1,0,1,0,0,0,0,0,Checksums
.md4,1,0,1,0,0,0,0,0,Checksums
.md5,1,0,1,0,0,0,0,0,Checksums
.mdown,1,1,1,0,0,1,1,0,markdown
.mdpolicy,1,1,1,0,0,1,1,0,xml
.mdwn,1,1,1,0,0,1,1,0,markdown
.mdx,1,1,1,0,1,0,0,0,mdx
.me,1,1,1,0,0,1,1,0,roff
.mediawiki,1,0,1,0,0,1,1,0,Wikitext
.mermaid,1,1,1,0,0,0,0,0,mermaid
.meta,1,1,1,0,0,1,1,0,unity3d-asset
.metal,1,1,1,0,0,1,0,0,metal
.metta,1,0,1,0,0,0,0,0,MeTTa
.mg,1,0,1,0,0,1,0,1,Modula-3
.minid,1,1,1,0,0,1,1,0,minid
.mint,1,1,1,0,1,0,0,0,mint
.mir,1,0,1,0,0,1,1,0,YAML
.mirah,1,1,1,0,0,1,1,1,mirah
.mjml,1,1,1,0,0,1,1,0,xml
.mjs,1,1,1,1,0,1,1,1,javascript
.mk,1,0,1,0,0,1,1,1,Makefile
.mkd,1,1,1,0,0,1,1,0,markdown
.mkdn,1,1,1,0,0,1,1,0,markdown
.mkdown,1,1,1,0,0,1,1,0,markdown
.mkfile,1,0,1,0,0,1,1,1,Makefile
.mkii,1,1,1,0,0,1,1,1,tex
.mkiv,1,1,1,0,0,1,1,1,tex
.mkvi,1,1,1,0,0,1,1,1,tex
.ml4,1,1,1,0,0,1,1,1,ocaml
.mli,1,1,1,0,0,1,1,1,ocaml
.mligo,1,0,1,0,0,0,0,0,CameLIGO
.mlir,1,1,1,0,0,1,0,0,mlir
.mll,1,1,1,0,0,1,1,1,ocaml
.mly,1,1,1,0,0,1,1,1,ocaml
.mmd,1,1,1,0,0,0,0,0,mermaid
.mmk,1,1,1,0,0,1,0,0,module-management-system
.mms,1,1,1,0,0,1,0,0,module-management-system
.monkey,1,1,1,0,1,1,1,1,monkey
.monkey2,1,1,1,0,1,1,1,1,monkey
.moon,1,0,1,0,1,1,1,1,MoonScript
.move,1,1,1,0,0,0,0,0,move
.mpl,1,0,1,0,0,0,1,0,JetBrains MPS
.mq4,1,0,1,0,0,1,1,0,MQL4
.mq5,1,0,1,0,0,1,1,0,MQL5
.mrc,1,0,1,0,0,1,0,0,mIRC Script
.msd,1,0,1,0,0,0,1,0,JetBrains MPS
.mspec,1,1,1,0,0,1,1,1,ruby
.mss,1,1,1,0,0,1,0,0,cartocss
.mt,1,0,1,0,0,1,1,1,Wolfram Language
.mtl,1,1,1,0,0,1,0,0,wavefront-material
.mtml,1,1,1,0,0,1,0,0,mtml
.mts,1,1,1,1,0,1,1,1,typescript
.mu,1,1,1,0,0,1,1,0,mupad
.mud,1,1,1,0,0,1,0,0,zil
.muf,1,1,1,0,0,1,0,1,muf
.mumps,1,0,1,0,1,1,0,1,M
.muse,1,0,1,0,0,1,0,0,Muse
.mustache,1,1,1,0,0,0,0,0,mustache
.mxml,1,1,1,0,0,1,1,0,xml
.mxt,1,1,1,0,0,1,0,0,max
.mysql,1,1,1,0,0,1,1,1,sql
.myt,1,1,1,0,0,1,1,0,myghty
.mzn,1,1,1,0,0,0,0,1,minizinc
.nanorc,1,0,1,0,0,1,0,0,nanorc
.nasl,1,0,1,0,0,1,1,1,NASL
.nasm,1,0,1,0,1,1,1,1,Assembly
.natvis,1,1,1,0,0,1,1,0,xml
.nawk,1,1,1,0,0,1,1,1,awk
.nbp,1,0,1,0,0,1,1,1,Wolfram Language
.nc,1,1,1,0,0,1,1,0,nesc
.ndproj,1,1,1,0,0,1,1,0,xml
.ne,1,1,1,0,0,1,0,0,nearley
.nearley,1,1,1,0,0,1,0,0,nearley
.ned,1,0,1,0,0,0,0,0,OMNeT++ NED
.neon,1,0,1,0,0,0,0,0,NEON
.nf,1,1,1,0,0,1,0,0,nextflow
.nginx,1,0,1,0,0,1,1,0,Nginx
.nginxconf,1,0,1,0,0,1,1,0,Nginx
.ni,1,0,1,0,0,1,1,1,Inform 7
.nim,1,1,1,0,0,1,1,1,nim
.nim.cfg,1,1,1,0,0,1,1,1,nim
.nimble,1,1,1,0,0,1,1,1,nim
.nimrod,1,1,1,0,0,1,1,1,nim
.nims,1,1,1,0,0,1,1,1,nim
.ninja,1,1,1,0,0,1,0,0,ninja
.nit,1,1,1,0,0,1,1,1,nit
.nix,1,1,1,0,1,1,1,1,nix
.njk,1,0,1,0,0,0,0,0,Nunjucks
.njs,1,1,1,1,0,1,1,1,javascript
.nlogo,1,1,1,0,0,1,0,1,netlogo
.no,1,0,1,0,1,1,1,0,Text
.nomad,1,1,1,0,0,1,1,1,hcl
.nproj,1,1,1,0,0,1,1,0,xml
.nqp,1,1,1,0,0,1,1,1,raku
.nse,1,1,1,1,0,1,1,1,lua
.nsh,1,1,1,0,0,1,1,1,nsis
.nsi,1,1,1,0,0,1,1,1,nsis
.nss,1,1,1,0,0,0,0,0,nwscript
.numpy,1,1,1,0,0,1,1,0,numpy
.numpyw,1,1,1,0,0,1,1,0,numpy
.numsc,1,1,1,0,0,1,1,0,numpy
.nuspec,1,1,1,0,0,1,1,0,xml
.nut,1,1,1,0,0,1,0,1,squirrel
.ny,1,1,1,0,0,1,1,1,common-lisp
.ob2,1,1,1,0,0,0,0,0,oberon
.obj,1,1,1,0,0,1,0,0,wavefront-object
.objdump,1,1,1,0,0,1,1,0,objdump
.odd,1,1,1,0,0,1,1,0,xml
.ol,1,1,1,0,0,1,0,0,jolie
.omgrofl,1,1,1,0,1,1,0,0,omgrofl
.ooc,1,1,1,0,0,1,1,1,ooc
.opa,1,1,1,0,0,1,1,1,opa
.opal,1,1,1,0,1,1,0,0,opal
.opencl,1,1,1,0,0,1,1,0,opencl
.orc,1,1,1,0,0,1,1,0,csound
.org,1,0,1,0,0,1,1,0,Org
.os,1,1,1,0,0,1,0,0,1c-enterprise
.osm,1,1,1,0,0,1,1,0,xml
.outjob,1,0,1,0,0,1,0,0,Altium Designer
.overpassql,1,0,1,0,0,0,0,0,OverpassQL
.owl,1,0,1,0,0,1,0,0,Web Ontology Language
.ox,1,1,1,0,0,1,0,0,ox
.oxh,1,1,1,0,0,1,0,0,ox
.oxo,1,1,1,0,0,1,0,0,ox
.oxygene,1,1,1,0,0,1,0,1,oxygene
.oz,1,1,1,0,1,1,0,1,oz
.p4,1,1,1,0,0,1,0,0,p4
.p6,1,1,1,0,0,1,1,1,raku
.p6l,1,1,1,0,0,1,1,1,raku
.p6m,1,1,1,0,0,1,1,1,raku
.p8,1,1,1,1,0,1,1,1,lua
.pac,1,1,1,1,0,1,1,1,javascript
.pact,1,1,1,0,0,0,0,0,pact
.pan,1,1,1,0,0,1,1,0,pan
.parrot,1,0,1,0,1,1,0,0,Parrot
.pas,1,1,1,0,0,1,1,1,pascal
.pascal,1,1,1,0,0,1,1,1,pascal
.pasm,1,1,1,0,0,1,0,1,parrot-assembly
.pat,1,1,1,0,0,1,0,0,max
.patch,1,1,1,0,0,1,1,0,diff
.pb,1,1,1,1,0,1,0,1,purebasic
.pbi,1,1,1,1,0,1,0,1,purebasic
.pbtxt,1,0,1,0,0,0,0,0,Protocol Buffer Text Format
.pcbdoc,1,0,1,0,0,1,0,0,Altium Designer
.pck,1,0,1,0,0,1,1,0,PLSQL
.pcss,1,1,1,0,0,1,0,0,postcss
.pd,1,0,1,0,0,1,0,1,Pure Data
.pd_lua,1,1,1,1,0,1,1,1,lua
.pddl,1,0,1,0,0,0,1,0,PDDL
.pde,1,1,1,1,0,1,0,1,processing
.peggy,1,0,1,0,0,0,0,0,PEG.js
.pegjs,1,0,1,0,0,0,0,0,PEG.js
.pep,1,1,1,0,0,1,0,0,pep8
.per,1,0,1,0,0,0,0,0,Genero per
.perl,1,1,1,1,1,1,1,1,perl
.pfa,1,1,1,0,0,1,1,1,postscript
.pgsql,1,1,1,0,0,1,1,1,plpgsql
.ph,1,1,1,1,1,1,1,1,perl
.php3,1,1,1,1,0,1,1,1,php
.php4,1,1,1,1,0,1,1,1,php
.php5,1,1,1,1,0,1,1,1,php
.phps,1,1,1,1,0,1,1,1,php
.phpt,1,1,1,1,0,1,1,1,php
.phtml,1,0,1,0,0,1,1,0,HTML+PHP
.pic,1,1,1,0,0,1,0,0,pic
.pig,1,0,1,0,0,1,1,0,PigLatin
.pike,1,1,1,0,0,1,1,1,pike
.pir,1,1,1,0,0,1,0,1,parrot-internal-representation
.pkb,1,0,1,0,0,1,1,0,PLSQL
.pkgproj,1,1,1,0,0,1,1,0,xml
.pks,1,0,1,0,0,1,1,0,PLSQL
.pl6,1,1,1,0,0,1,1,1,raku
.plantuml,1,1,1,0,0,1,0,0,plantuml
.plb,1,0,1,0,0,1,1,0,PLSQL
.plot,1,1,1,0,0,1,1,1,gnuplot
.pls,1,0,1,0,0,1,1,0,PLSQL
.plsql,1,0,1,0,0,1,1,0,PLSQL
.plx,1,1,1,1,1,1,1,1,perl
.pm6,1,1,1,0,0,1,1,1,raku
.pml,1,1,1,0,0,0,1,0,promela
.pmod,1,1,1,0,0,1,1,1,pike
.po,1,0,1,0,0,1,1,0,Gettext Catalog
.pod6,1,0,1,0,0,1,0,0,Pod 6
.podsl,1,1,1,0,0,1,1,1,common-lisp
.podspec,1,1,1,0,0,1,1,1,ruby
.pogo,1,1,1,0,0,1,0,0,pogoscript
.polar,1,0,1,0,0,0,0,0,Polar
.pony,1,1,1,0,0,1,1,1,pony
.por,1,0,1,0,0,0,1,1,Portugol
.postcss,1,1,1,0,0,1,0,0,postcss
.pot,1,0,1,0,0,1,1,0,Gettext Catalog
.pov,1,1,1,0,0,1,1,1,pov-ray-sdl
.pprx,1,1,1,0,0,1,1,1,rexx
.praat,1,0,1,0,0,0,1,0,Praat
.prawn,1,1,1,0,0,1,1,1,ruby
.prefab,1,1,1,0,0,1,1,0,unity3d-asset
.prefs,1,1,1,0,0,1,1,0,ini
.prg,1,1,1,0,0,1,1,1,xbase
.pri,1,1,1,0,0,1,1,0,qmake
.prisma,1,0,1,0,0,1,0,0,Prisma
.prjpcb,1,0,1,0,0,1,0,0,Altium Designer
.proj,1,1,1,0,0,1,1,0,xml
.prolog,1,1,1,0,0,1,1,1,prolog
.props,1,1,1,0,0,1,1,0,xml
.proto,1,0,1,0,0,1,1,0,Protocol Buffer
.prw,1,1,1,0,0,1,1,1,xbase
.ps,1,1,1,0,0,1,1,1,postscript
.ps1,1,1,1,0,0,1,1,1,powershell
.ps1xml,1,1,1,0,0,1,1,0,xml
.psc,1,1,1,0,0,1,1,0,papyrus
.psc1,1,1,1,0,0,1,1,0,xml
.psd1,1,1,1,0,0,1,1,1,powershell
.psgi,1,1,1,1,1,1,1,1,perl
.psm1,1,1,1,0,0,1,1,1,powershell
.pt,1,1,1,0,0,1,1,0,xml
.pub,1,0,1,0,0,1,1,0,Public Key
.pubxml,1,1,1,0,0,1,1,0,xml
.pug,1,1,1,0,0,1,1,0,pug
.puml,1,1,1,0,0,1,0,0,plantuml
.purs,1,1,1,0,0,1,0,0,purescript
.pwn,1,1,1,0,0,1,1,0,pawn
.pxd,1,1,1,0,0,1,1,0,cython
.pxi,1,1,1,0,0,1,1,0,cython
.py,1,0,1,0,1,1,1,1,Python
.py3,1,0,1,0,1,1,1,1,Python
.pyde,1,0,1,0,1,1,1,1,Python
.pyi,1,0,1,0,1,1,1,1,Python
.pyp,1,0,1,0,1,1,1,1,Python
.pyt,1,0,1,0,1,1,1,1,Python
.pytb,1,0,1,0,0,1,1,0,Python traceback
.pyw,1,0,1,0,1,1,1,1,Python
.pyx,1,1,1,0,0,1,1,0,cython
.qasm,1,0,1,1,0,1,0,0,OpenQASM
.qbs,1,0,1,0,0,1,1,0,QML
.qc,1,1,1,0,0,0,0,1,quakec
.qhelp,1,1,1,0,0,1,1,0,xml
.ql,1,1,1,0,0,1,1,0,codeql
.qll,1,1,1,0,0,1,1,0,codeql
.qmd,1,1,1,0,0,1,0,0,rmarkdown
.qml,1,0,1,0,0,1,1,0,QML
.r2,1,1,1,1,0,1,1,1,rebol
.r3,1,1,1,1,0,1,1,1,rebol
.rabl,1,1,1,0,0,1,1,1,ruby
.rake,1,1,1,0,0,1,1,1,ruby
.raku,1,1,1,0,0,1,1,1,raku
.rakumod,1,1,1,0,0,1,1,1,raku
.raml,1,0,1,0,0,1,0,0,RAML
.rascript,1,0,1,0,0,0,0,0,RAScript
.raw,1,0,1,0,0,1,0,0,Raw token data
.razor,1,0,1,0,0,1,0,0,HTML+Razor
.rb,1,1,1,0,0,1,1,1,ruby
.rbbas,1,1,1,0,0,1,0,1,realbasic
.rbfrm,1,1,1,0,0,1,0,1,realbasic
.rbi,1,1,1,0,0,1,1,1,ruby
.rbmnu,1,1,1,0,0,1,0,1,realbasic
.rbres,1,1,1,0,0,1,0,1,realbasic
.rbs,1,1,1,0,0,0,0,0,rbs
.rbtbar,1,1,1,0,0,1,0,1,realbasic
.rbuild,1,1,1,0,0,1,1,1,ruby
.rbuistate,1,1,1,0,0,1,0,1,realbasic
.rbw,1,1,1,0,0,1,1,1,ruby
.rbx,1,1,1,0,0,1,1,1,ruby
.rbxs,1,1,1,1,0,1,1,1,lua
.rchit,1,1,1,0,0,1,1,1,glsl
.rd,1,1,1,0,0,1,1,1,r
.rdf,1,1,1,0,0,1,1,0,xml
.rdoc,1,1,1,0,0,1,0,0,rdoc
.reb,1,1,1,1,0,1,1,1,rebol
.rebol,1,1,1,1,0,1,1,1,rebol
.red,1,0,1,0,1,1,1,1,Red
.reds,1,0,1,0,1,1,1,1,Red
.reek,1,0,1,0,0,1,1,0,YAML
.reg,1,1,1,0,0,1,1,0,windows-registry-entries
.regex,1,0,1,0,1,1,0,0,Regular Expression
.regexp,1,0,1,0,1,1,0,0,Regular Expression
.rego,1,0,1,0,0,1,1,0,Open Policy Agent
.rei,1,1,1,0,0,1,1,1,reason
.religo,1,0,1,0,0,0,0,0,ReasonLIGO
.resi,1,1,1,0,0,0,0,1,rescript
.resource,1,1,1,0,0,1,1,0,robotframework
.rest,1,1,1,0,0,1,1,0,restructuredtext
.rest.txt,1,1,1,0,0,1,1,0,restructuredtext
.resx,1,1,1,0,0,1,1,0,xml
.rex,1,1,1,0,0,1,1,1,rexx
.rexx,1,1,1,0,0,1,1,1,rexx
.rg,1,1,1,0,0,1,0,0,rouge
.rhtml,1,0,1,0,0,1,1,0,HTML+ERB
.ring,1,1,1,0,0,1,0,1,ring
.riot,1,0,1,0,0,1,0,0,Riot
.rkt,1,1,1,0,0,1,1,1,racket
.rktd,1,1,1,0,0,1,1,1,racket
.rktl,1,1,1,0,0,1,1,1,racket
.rl,1,1,1,0,0,1,1,0,ragel
.rmd,1,1,1,0,0,1,0,0,rmarkdown
.rmiss,1,1,1,0,0,1,1,1,glsl
.rnh,1,1,1,0,0,1,0,0,runoff
.rnw,1,1,1,0,0,0,0,0,sweave
.robot,1,1,1,0,0,1,1,0,robotframework
.roc,1,1,1,0,0,0,0,1,roc
.rockspec,1,1,1,1,0,1,1,1,lua
.roff,1,1,1,0,0,1,1,0,roff
.ron,1,1,1,0,0,0,0,0,ron
.ronn,1,1,1,0,0,1,1,0,markdown
.rpgle,1,0,1,0,0,0,0,0,RPGLE
.rq,1,1,1,0,0,1,1,0,sparql
.rs.in,1,1,1,0,0,1,1,1,rust
