ext,source,qid,label,description,aliases,enwiki_title,wikidata_url,wikipedia_url,mime_types,instance_of_labels,instance_of_qids,suggested_label,wikidata_rank,wikipedia_note
exi,wikidata,Q1124477,Efficient XML Interchange,file format,EXI; W3C EXI,Efficient XML Interchange,https://www.wikidata.org/wiki/Q1124477,https://en.wikipedia.org/wiki/Efficient_XML_Interchange,application/exi,file format; binary XML format; W3C Recommendation,Q235557; Q863511; Q2661442,,normal,
exmp,wikidata,Q105858190,SimCity 4 Cohort (text),file format,,,https://www.wikidata.org/wiki/Q105858190,,text/plain,file format,Q235557,,normal,
exmp,wikidata,Q105858320,SimCity 4 Exemplar (binary),file format,,,https://www.wikidata.org/wiki/Q105858320,,application/octet-stream,file format,Q235557,,normal,
exmp,wikidata,Q105858352,SimCity 4 Cohort (binary),file format,,,https://www.wikidata.org/wiki/Q105858352,,application/octet-stream,file format,Q235557,,normal,
exmp,wikidata,Q105858397,SimCity 4 Exemplar (text),file format,,,https://www.wikidata.org/wiki/Q105858397,,text/plain,file format,Q235557,,normal,
exo,wikidata,Q135527264,Exodus-II mesh file,file format,Exodus II mesh file; Exodus-II File Format; Exodus II File Format,,https://www.wikidata.org/wiki/Q135527264,,,file format,Q235557,,normal,
exo,wikipedia,Q947746,SREC,file format,.s19; .s28; .s37; .s; .s1; .s2; .s3; .sx; .srec; .mot; Motorola S-REC; S-REC,Motorola S-record,https://www.wikidata.org/wiki/Q947746,https://en.wikipedia.org/wiki/Motorola_S-record,,file format,Q235557,,,
exp,wikidata,Q105858300,Autex Experimental Pole Figure data,file format,,,https://www.wikidata.org/wiki/Q105858300,,text/plain,file format,Q235557,,normal,
exp,wikidata,Q105858317,Melco embroidery design,file format,,,https://www.wikidata.org/wiki/Q105858317,,application/octet-stream,file format,Q235557,,normal,
export,wikidata,Q105858402,Fritz!Box configuration backup,file format,,,https://www.wikidata.org/wiki/Q105858402,,application/x-avm-export,file format,Q235557,,normal,
exr,wikidata,Q1341482,OpenEXR,file format for high-dynamic-range images,.exr; EXR; IlmImf; ILM OpenEXR,OpenEXR,https://www.wikidata.org/wiki/Q1341482,https://en.wikipedia.org/wiki/OpenEXR,image/x-exr,file format; raster-graphics file format,Q235557; Q105599390,binary:image,normal,
exrc,wikidata,Q131412758,VimL script file,file format,VimL file format,,https://www.wikidata.org/wiki/Q131412758,,text/x-vim,file format,Q235557,,normal,
exs,wikidata,Q111272667,Logic EXS24 instrument file,file format,Apple Logic; Apple Logic instrument,,https://www.wikidata.org/wiki/Q111272667,,,file format,Q235557,,normal,
exs,wikidata,Q129082474,Elixir script file,file format,Elixir script,,https://www.wikidata.org/wiki/Q129082474,,text/x-elixir,file format,Q235557,,normal,
ext,wikidata,Q105856103,Open Access III Document,file format,,,https://www.wikidata.org/wiki/Q105856103,,application/octet-stream,file format,Q235557,,normal,
ext,wikidata,Q105858357,MovieShop Operators,file format,,,https://www.wikidata.org/wiki/Q105858357,,application/octet-stream,file format,Q235557,,normal,
exw,wikidata,Q130472203,Phix file,file format,,,https://www.wikidata.org/wiki/Q130472203,,text/x-phix,file format,Q235557,,normal,
exx,wikidata,Q105858184,Exploring Pascal compiled H-Code (v1.0),file format,,,https://www.wikidata.org/wiki/Q105858184,,application/octet-stream,file format,Q235557,,normal,
eyb,wikidata,Q105858373,Encarta Encyclopedia Yearbook and Web Links update,file format,,,https://www.wikidata.org/wiki/Q105858373,,,file format,Q235557,,normal,
eye,wikidata,Q105859804,Eyemail video,file format,,,https://www.wikidata.org/wiki/Q105859804,,,file format,Q235557,,normal,
eyetvp,wikidata,Q105858292,EyeTV scheduling metadata,file format,,,https://www.wikidata.org/wiki/Q105858292,,,file format,Q235557,,normal,
eyetvr,wikidata,Q105858455,EyeTV Recording metadata,file format,,,https://www.wikidata.org/wiki/Q105858455,,,file format,Q235557,,normal,
eygl,wikidata,Q105858419,Eyeglass format,file format,Eyeglass file format (Ross Spencer),,https://www.wikidata.org/wiki/Q105858419,,application/octet-stream,file format,Q235557,,normal,
eyw,wikidata,Q105858473,EyesWeb patch,file format,,,https://www.wikidata.org/wiki/Q105858473,,application/octet-stream,file format,Q235557,,normal,
eywx,wikidata,Q105858169,EyesWeb patch (XML),file format,,,https://www.wikidata.org/wiki/Q105858169,,text/xml,file format,Q235557,,normal,
ez2,wikidata,Q105858461,E-mu Emaxsynth sample,file format,,,https://www.wikidata.org/wiki/Q105858461,,application/octet-stream,file format,Q235557,,normal,
ez3,wikidata,Q105858386,E-mu Emulator III sample,file format,,,https://www.wikidata.org/wiki/Q105858386,,application/octet-stream,file format,Q235557,,normal,
eza,wikidata,Q105858523,EZ-Art Professional bitmap,file format,,,https://www.wikidata.org/wiki/Q105858523,,application/octet-stream,file format,Q235557,,normal,
ezc,wikidata,Q105858187,EZGUI Designer control definition,file format,,,https://www.wikidata.org/wiki/Q105858187,,,file format,Q235557,,normal,
ezd,wikidata,Q105858214,EzCad Drawing,file format,,,https://www.wikidata.org/wiki/Q105858214,,application/octet-stream,file format,Q235557,,normal,
ezdraw,wikidata,Q50374971,EazyDraw File Format,file format,.ezdraw,,https://www.wikidata.org/wiki/Q50374971,,application/octet-stream,file format,Q235557,,normal,
ezdrawlibb,wikidata,Q105858425,EazyDraw Library (binary),file format,,,https://www.wikidata.org/wiki/Q105858425,,application/octet-stream,file format,Q235557,,normal,
ezf,wikidata,Q117843186,Calculus EZ-Fax file,file format,Calculus EZ-Fax,,https://www.wikidata.org/wiki/Q117843186,,,file format,Q235557,,normal,
ezlog,wikidata,Q105858249,Skype Extras Manager log,file format,,,https://www.wikidata.org/wiki/Q105858249,,,file format,Q235557,,normal,
ezp,wikidata,Q105858350,GoLabel document,file format,,,https://www.wikidata.org/wiki/Q105858350,,application/octet-stream,file format,Q235557,,normal,
ezp,wikidata,Q105858371,EasyPlot save file,file format,,,https://www.wikidata.org/wiki/Q105858371,,,file format,Q235557,,normal,
ezpx,wikidata,Q105858194,GoLabel document (XML),file format,,,https://www.wikidata.org/wiki/Q105858194,,application/octet-stream,file format,Q235557,,normal,
ezt,wikidata,Q128996522,Easytrieve file format,file format,,,https://www.wikidata.org/wiki/Q128996522,,text/x-easytrieve,file format,Q235557,,normal,
f,wikidata,Q105855227,Freeze compressed data (v1.x),file format,,,https://www.wikidata.org/wiki/Q105855227,,application/octet-stream,file format,Q235557,,normal,
f,wikidata,Q105855520,Freeze compressed data (v2.x),file format,,,https://www.wikidata.org/wiki/Q105855520,,application/octet-stream,file format,Q235557,,normal,
f,wikidata,Q111721131,Fixed-format Fortran source,file format,,,https://www.wikidata.org/wiki/Q111721131,,,file format,Q235557,,normal,
f00,wikidata,Q105857435,Japanese Word Processor Kanji Font,file format,,,https://www.wikidata.org/wiki/Q105857435,,application/octet-stream,file format,Q235557,,normal,
f01,wikidata,Q105855464,HEC-RAS Flow file,file format,,,https://www.wikidata.org/wiki/Q105855464,,,file format,Q235557,,normal,
f01,wikidata,Q113376365,Yamaha Wave Audio Generic,file format,,,https://www.wikidata.org/wiki/Q113376365,,,file format,Q235557,,normal,
f02,wikidata,Q105855464,HEC-RAS Flow file,file format,,,https://www.wikidata.org/wiki/Q105855464,,,file format,Q235557,,normal,
f03,wikidata,Q28555809,Fortran 2003,2003 edition of the Fortran programming language standard,F2003,,https://www.wikidata.org/wiki/Q28555809,,,ISO standard edition,Q55771109,,normal,
f08,wikidata,Q28555829,Fortran 2008,2008 edition of the Fortran programming language standard,F2008,,https://www.wikidata.org/wiki/Q28555829,,,ISO standard edition,Q55771109,,normal,
f1d,wikidata,Q123436289,DARC-F1 file,file format,DARC-F1,,https://www.wikidata.org/wiki/Q123436289,,,file format,Q235557,,normal,
f1q,wikidata,Q123436321,DARC-F1 Query file,file format,DARC-F1 Query,,https://www.wikidata.org/wiki/Q123436321,,,file format,Q235557,,normal,
f2r,wikidata,Q111272689,Farandoyle linear module format,file format,,,https://www.wikidata.org/wiki/Q111272689,,,file format,Q235557,,normal,
f2r,wikidata,Q27967179,Farandole Form 2.0,file format,.f2r,,https://www.wikidata.org/wiki/Q27967179,,,file format,Q235557,,normal,
f32,wikidata,Q111272703,Floating Point raw 32-bit IEEE data,file format,,,https://www.wikidata.org/wiki/Q111272703,,,file format,Q235557,,normal,
f3b,wikidata,Q5424215,F3,font file format,,F3 (font format),https://www.wikidata.org/wiki/Q5424215,https://en.wikipedia.org/wiki/F3_(font_format),application/octet-stream,font file format,Q55281818,binary:font,normal,
f3d,wikidata,Q105855465,Fusion 360 3D Design,file format,,,https://www.wikidata.org/wiki/Q105855465,,application/octet-stream,file format,Q235557,,normal,
f3d,wikidata,Q34742907,Softdisk Family Tree 3 Person Data,file format,.f3d; Softdisk Family Tree Version 3 Person Data,,https://www.wikidata.org/wiki/Q34742907,,,Softdisk Family Tree,Q34739013,,normal,
f3m,wikidata,Q34743019,Softdisk Family Tree 3 Marriage Data,file format,.f3m; Softdisk Family Tree Version 3 Marriage Data,,https://www.wikidata.org/wiki/Q34743019,,,Softdisk Family Tree,Q34739013,,normal,
f3r,wikidata,Q105855281,Farandole F3R blocked linear module format,file format,Farandole blocked linear module format,,https://www.wikidata.org/wiki/Q105855281,,application/octet-stream,file format,Q235557,,normal,
f3z,wikidata,Q105855461,Fusion 360 shared project archive,file format,,,https://www.wikidata.org/wiki/Q105855461,,application/octet-stream,file format,Q235557,,normal,
f4a,wikidata,Q27967486,F4V,file format,.f4v; Flash Video,,https://www.wikidata.org/wiki/Q27967486,,video/mp4,file format,Q235557,,normal,
f4b,wikidata,Q27967486,F4V,file format,.f4v; Flash Video,,https://www.wikidata.org/wiki/Q27967486,,video/mp4,file format,Q235557,,normal,
f4m,wikidata,Q27979366,Flash Media Manifest,file format,.f4m,,https://www.wikidata.org/wiki/Q27979366,,application/f4m,file format,Q235557,,normal,
f4p,wikidata,Q27967486,F4V,file format,.f4v; Flash Video,,https://www.wikidata.org/wiki/Q27967486,,video/mp4,file format,Q235557,,normal,
f4v,wikidata,Q27967486,F4V,file format,.f4v; Flash Video,,https://www.wikidata.org/wiki/Q27967486,,video/mp4,file format,Q235557,,normal,
f64,wikidata,Q105857708,F64 disk image,file format,,,https://www.wikidata.org/wiki/Q105857708,,application/octet-stream,file format,Q235557,,normal,
f64,wikidata,Q111283245,Floating point raw 64-bit IEEE data,file format,,,https://www.wikidata.org/wiki/Q111283245,,,file format,Q235557,,normal,
f77,wikidata,Q111721131,Fixed-format Fortran source,file format,,,https://www.wikidata.org/wiki/Q111721131,,,file format,Q235557,,normal,
f90,wikidata,Q111721061,Free-format Fortran 90 source,file format,,,https://www.wikidata.org/wiki/Q111721061,,,file format,Q235557,,normal,
f90,wikidata,Q20754790,Fortran 90,1990 edition of the Fortran programming language standard,F90,,https://www.wikidata.org/wiki/Q20754790,,,ISO standard edition,Q55771109,,normal,
f95,wikidata,Q111721108,Free-format Fortran 95 source,file format,,,https://www.wikidata.org/wiki/Q111721108,,,file format,Q235557,,normal,
f95,wikidata,Q5472707,Fortran 95,1995 edition of the Fortran programming language standard,F95,Fortran 95 language features,https://www.wikidata.org/wiki/Q5472707,https://en.wikipedia.org/wiki/Fortran_95_language_features,,ISO standard edition,Q55771109,,normal,
f99,wikidata,Q105855464,HEC-RAS Flow file,file format,,,https://www.wikidata.org/wiki/Q105855464,,,file format,Q235557,,normal,
fa,wikidata,Q1593782,FASTA format,file format used to store nucleotide or amino acid sequences,FASTA,FASTA format,https://www.wikidata.org/wiki/Q1593782,https://en.wikipedia.org/wiki/FASTA_format,text/plain; chemical/seq-aa-fasta; chemical/seq-na-fasta,file format; textual data format,Q235557; Q59155265,,normal,
faa,wikipedia,Q1593782,FASTA format,file format used to store nucleotide or amino acid sequences,FASTA,FASTA format,https://www.wikidata.org/wiki/Q1593782,https://en.wikipedia.org/wiki/FASTA_format,text/plain; chemical/seq-aa-fasta; chemical/seq-na-fasta,file format; textual data format,Q235557; Q59155265,,,
fabbproject,wikidata,Q105855392,netfabb Project,file format,,,https://www.wikidata.org/wiki/Q105855392,,application/octet-stream,file format,Q235557,,normal,
fac,wikidata,Q105855258,PC Storyboard 1.0 Font,file format,,,https://www.wikidata.org/wiki/Q105855258,,application/octet-stream,file format,Q235557,,normal,
fac,wikidata,Q105858875,FaceSaver bitmap,file format,,,https://www.wikidata.org/wiki/Q105858875,,application/octet-stream,file format,Q235557,,normal,
fac,wikidata,Q28206101,FaceSaver,file format,.face; .fac,,https://www.wikidata.org/wiki/Q28206101,,,file format,Q235557,,normal,
face,wikidata,Q105855240,Facer watch Face,file format,,,https://www.wikidata.org/wiki/Q105855240,,application/octet-stream,file format,Q235557,,normal,
face,wikidata,Q105858875,FaceSaver bitmap,file format,,,https://www.wikidata.org/wiki/Q105858875,,application/octet-stream,file format,Q235557,,normal,
face,wikidata,Q28206101,FaceSaver,file format,.face; .fac,,https://www.wikidata.org/wiki/Q28206101,,,file format,Q235557,,normal,
face,wikidata,Q388046,X-Face,Bitmap image,,X-Face,https://www.wikidata.org/wiki/Q388046,https://en.wikipedia.org/wiki/X-Face,,file format,Q235557,,normal,
facet,wikidata,Q105855415,PageRender3D facet/object,file format,,,https://www.wikidata.org/wiki/Q105855415,,text/plain,file format,Q235557,,normal,
facet,wikidata,Q105855434,Facet file,file format,,,https://www.wikidata.org/wiki/Q105855434,,,file format,Q235557,,normal,
fact,wikidata,Q28975799,FACT,file format,Electric Image FACT; ElectricImage Fact; .fact,,https://www.wikidata.org/wiki/Q28975799,,,file format,Q235557,,normal,
factor,wikidata,Q129167999,Factor source code file,file format,,,https://www.wikidata.org/wiki/Q129167999,,text/x-factor,file format,Q235557,,normal,
fal,wikidata,Q28207178,Q0 Image Attributes,file format,.fal,,https://www.wikidata.org/wiki/Q28207178,,text/plain,file format,Q235557,,normal,
familyfile,wikidata,Q105855214,Reunion Family tree (v9),file format,,,https://www.wikidata.org/wiki/Q105855214,,application/octet-stream,file format,Q235557,,normal,
familyfile,wikidata,Q105855379,Reunion Family tree (v8),file format,,,https://www.wikidata.org/wiki/Q105855379,,application/octet-stream,file format,Q235557,,normal,
familyfile,wikidata,Q70000278,FAMILYFILE,file format,.familyfile; Reunion Familyfile,,https://www.wikidata.org/wiki/Q70000278,,,file format,Q235557,,normal,
familyx,wikidata,Q70000497,My Family Tree Family file format,file format,FAMILYX,,https://www.wikidata.org/wiki/Q70000497,,application/octet-stream,file format,Q235557,,normal,
fan,wikidata,Q129177072,Fantom source code file,file format,,,https://www.wikidata.org/wiki/Q129177072,,application/x-fantom,file format,Q235557,,normal,
far,wikidata,Q105854171,The Sims Archive,file format,,,https://www.wikidata.org/wiki/Q105854171,,application/octet-stream,file format,Q235557,,normal,
far,wikidata,Q130416191,Fuchsia archive format,archive file format,FAR,,https://www.wikidata.org/wiki/Q130416191,,,archive file format,Q1351368,binary:archive,normal,
far,wikidata,Q21040751,Farandole Composer format,file format,Farandole Composer module; .far; Farandole module,,https://www.wikidata.org/wiki/Q21040751,,,file format,Q235557,,normal,
farconfig,wikidata,Q105855411,Far settings,file format,,,https://www.wikidata.org/wiki/Q105855411,,text/plain,file format,Q235557,,normal,
farconfig,wikidata,Q105855523,Far settings (UTF-8),file format,,,https://www.wikidata.org/wiki/Q105855523,,text/plain,file format,Q235557,,normal,
fas,wikidata,Q105855242,AutoCAD Fast-load AutoLISP (FAS4),file format,,,https://www.wikidata.org/wiki/Q105855242,,,file format,Q235557,,normal,
fas,wikipedia,Q1593782,FASTA format,file format used to store nucleotide or amino acid sequences,FASTA,FASTA format,https://www.wikidata.org/wiki/Q1593782,https://en.wikipedia.org/wiki/FASTA_format,text/plain; chemical/seq-aa-fasta; chemical/seq-na-fasta,file format; textual data format,Q235557; Q59155265,,,
fasm,wikidata,Q134468925,Flat Assembler file,file format,FSAM file,,https://www.wikidata.org/wiki/Q134468925,,,file format,Q235557,,normal,
fasta,wikidata,Q1593782,FASTA format,file format used to store nucleotide or amino acid sequences,FASTA,FASTA format,https://www.wikidata.org/wiki/Q1593782,https://en.wikipedia.org/wiki/FASTA_format,text/plain; chemical/seq-aa-fasta; chemical/seq-na-fasta,file format; textual data format,Q235557; Q59155265,,normal,
fastq,wikidata,Q3063023,FASTQ format,nucleic acid sequence and base qualities file format,FASTQ,FASTQ format,https://www.wikidata.org/wiki/Q3063023,https://en.wikipedia.org/wiki/FASTQ_format,text/plain,file format; textual data format,Q235557; Q59155265,,normal,
fastresume,wikidata,Q133459217,.fastresume,bencoded file format used in torrent client(s),FASTRESUME; FASTRESUME file,,https://www.wikidata.org/wiki/Q133459217,,application/octet-stream,file format,Q235557,,normal,
fav,wikidata,Q105855186,Outlook Shortcuts,file format,,,https://www.wikidata.org/wiki/Q105855186,,,file format,Q235557,,normal,
fav,wikidata,Q28692741,FAV File Format,,,,https://www.wikidata.org/wiki/Q28692741,,,file format,Q235557,,normal,
fax,wikidata,Q111009741,PrintMaster Fax Cover File format,file format,PrintMaster Fax Cover File; Fax Cover File; The Print Shop Fax Cover File format,,https://www.wikidata.org/wiki/Q111009741,,,file format,Q235557,,normal,
fax,wikidata,Q113652622,G3 1-D encoded FAX file format,file format,Fax Group 3,,https://www.wikidata.org/wiki/Q113652622,,image/g3fax,file format,Q235557,,normal,
fax,wikidata,Q89029185,American Greetings Project 10-23,file format,The Print Shop; PrintMaster,,https://www.wikidata.org/wiki/Q89029185,,,file format,Q235557,,normal,
faxx,wikidata,Q28058372,IFF-FAXX,file format,FAXX; .faxx; Facsimile image FORM,,https://www.wikidata.org/wiki/Q28058372,,image/x-faxx,file format,Q235557,,normal,
fb,wikidata,Q105855273,FastBack Plus setup,file format,,,https://www.wikidata.org/wiki/Q105855273,,text/plain,file format,Q235557,,normal,
fb2,wikidata,Q1411109,FictionBook,open XML-based e-book file format,FB2,FictionBook,https://www.wikidata.org/wiki/Q1411109,https://en.wikipedia.org/wiki/FictionBook,application/x-fictionbook; application/x-fictionbook+xml,e-book file format,Q81986407,,normal,
fb2k-component,wikidata,Q105855404,foobar2000 component,file format,,,https://www.wikidata.org/wiki/Q105855404,,application/zip,file format,Q235557,,normal,
fb3,wikidata,Q1411109,FictionBook,open XML-based e-book file format,FB2,FictionBook,https://www.wikidata.org/wiki/Q1411109,https://en.wikipedia.org/wiki/FictionBook,application/x-fictionbook; application/x-fictionbook+xml,e-book file format,Q81986407,,normal,
fbc,wikidata,Q64859397,Family Tree Maker Compressed file format,file format,.fbc,,https://www.wikidata.org/wiki/Q64859397,,,file format,Q235557,,normal,
fbd,wikidata,Q105855255,Gravis Firebird 2 configuration,file format,,,https://www.wikidata.org/wiki/Q105855255,,text/plain,file format,Q235557,,normal,
fbd,wikidata,Q105855293,Gravis Firebird configuration,file format,,,https://www.wikidata.org/wiki/Q105855293,,text/plain,file format,Q235557,,normal,
fbi,wikidata,Q105855144,Spring Engine unit Info,file format,,,https://www.wikidata.org/wiki/Q105855144,,text/plain,file format,Q235557,,normal,
fbi,wikidata,Q105855210,FLIP Bitmap,file format,,,https://www.wikidata.org/wiki/Q105855210,,application/octet-stream,file format,Q235557,,normal,
fbi,wikidata,Q105855512,Total Annihilation Main Unit Definition,file format,,,https://www.wikidata.org/wiki/Q105855512,,,file format,Q235557,,normal,
fbk,wikidata,Q64859108,Family Tree Maker Backup file format,file format,.fbk,,https://www.wikidata.org/wiki/Q64859108,,,file format,Q235557,,normal,
fbk,wikidata,Q84087750,FamilyTree Maker Database 1-4,file format,.ftw; .fbk; Family Tree Maker Database 1-4,,https://www.wikidata.org/wiki/Q84087750,,,file format,Q235557,,normal,
fbk,wikidata,Q88387779,FamilyTree Maker Database 5-16,file format,.ftw; .fbk; Family Tree Maker Database 5-16,,https://www.wikidata.org/wiki/Q88387779,,,file format,Q235557,,normal,
fbl,wikidata,Q105855159,iGO map,file format,,,https://www.wikidata.org/wiki/Q105855159,,,file format,Q235557,,normal,
fbm,wikidata,Q105855268,FastBack Plus Macro,file format,,,https://www.wikidata.org/wiki/Q105855268,,text/plain,file format,Q235557,,normal,
fbm,wikidata,Q28206114,Fuzzy Bitmap,file format,Fuzzy Pixmap; FBM image; .fbm; cbm,,https://www.wikidata.org/wiki/Q28206114,,application/octet-stream,file format,Q235557,,normal,
fbn,wikidata,Q27487485,Shapefile spatial index of features part 1,file format,ESRI Shapefile spatial index of features part 1; .fbn,,https://www.wikidata.org/wiki/Q27487485,,,file format,Q235557,,normal,
fbp,wikidata,Q105855168,wxFormBuilder Project,file format,,,https://www.wikidata.org/wiki/Q105855168,,text/xml,file format,Q235557,,normal,
fbp4,wikidata,Q105855421,FinalBuilder Project (v4) / Automise Project (v1),file format,,,https://www.wikidata.org/wiki/Q105855421,,text/xml,file format,Q235557,,normal,
fbp7,wikidata,Q105855474,FinalBuilder 7 Project,file format,,,https://www.wikidata.org/wiki/Q105855474,,,file format,Q235557,,normal,
fbr,wikidata,Q105855372,Blueberry FlashBack screen Record,file format,,,https://www.wikidata.org/wiki/Q105855372,,application/octet-stream,file format,Q235557,,normal,
fbrd,wikidata,Q138747252,Fusion 360 Archival Board file,file format,Autodesk Fusion 360 Archive file; Fusion 360 Archival PCB drawing file,,https://www.wikidata.org/wiki/Q138747252,,,file format,Q235557,,normal,
fbs,wikidata,Q105855151,FBIde session,file format,,,https://www.wikidata.org/wiki/Q105855151,,text/plain,file format,Q235557,,normal,
fbs,wikidata,Q30645399,FlatBuffers,cross-platform serialization software library,flatbuffers,FlatBuffers,https://www.wikidata.org/wiki/Q30645399,https://en.wikipedia.org/wiki/FlatBuffers,,free software; software library; data serialization format; Python package,Q341; Q188860; Q24451526; Q29642950,,normal,
fbx,wikidata,Q105855439,Autodesk - Kaydara FBX 3D format (Binary),file format,,,https://www.wikidata.org/wiki/Q105855439,,application/octet-stream,file format,Q235557,,normal,
fbx,wikidata,Q27487495,Shapefile spatial index of features part 2,file format,ESRI Shapefile spatial index of features part 2; .fbx,,https://www.wikidata.org/wiki/Q27487495,,,file format,Q235557,,normal,
fbx,wikidata,Q3063041,Filmbox,proprietary file format,FBX; .fbx; MotionBuilder; Autodesk Filmbox File Format,FBX,https://www.wikidata.org/wiki/Q3063041,https://en.wikipedia.org/wiki/FBX,application/octet-stream,file format,Q235557,,normal,
fbz,wikipedia,Q1411109,FictionBook,open XML-based e-book file format,FB2,FictionBook,https://www.wikidata.org/wiki/Q1411109,https://en.wikipedia.org/wiki/FictionBook,application/x-fictionbook; application/x-fictionbook+xml,e-book file format,Q81986407,,,
fc,wikidata,Q105855194,Future Composer v1.4 module,file format,,,https://www.wikidata.org/wiki/Q105855194,,audio/x-mod,file format,Q235557,,normal,
fc,wikidata,Q129325519,FunC file format,file format,FunC source code file; FunC file; FunC source code,,https://www.wikidata.org/wiki/Q129325519,,,file format,Q235557,,normal,
fc,wikidata,Q27967187,Future Composer v1.x module,file format,.fc; .fc13; .fc14; .smc; .smod,,https://www.wikidata.org/wiki/Q27967187,,audio/x-mod,file format,Q235557,,normal,
fc0,wikidata,Q105855235,FCE Ultra FC0 savestate,file format,,,https://www.wikidata.org/wiki/Q105855235,,application/octet-stream,file format,Q235557,,normal,
fc13,wikidata,Q27967187,Future Composer v1.x module,file format,.fc; .fc13; .fc14; .smc; .smod,,https://www.wikidata.org/wiki/Q27967187,,audio/x-mod,file format,Q235557,,normal,
fc14,wikidata,Q27967187,Future Composer v1.x module,file format,.fc; .fc13; .fc14; .smc; .smod,,https://www.wikidata.org/wiki/Q27967187,,audio/x-mod,file format,Q235557,,normal,
fc3map,wikidata,Q105855302,Far Cry 3 map,file format,,,https://www.wikidata.org/wiki/Q105855302,,application/octet-stream,file format,Q235557,,normal,
fc5,wikidata,Q100299227,"Flow Charting file format, version 5",file format,,,https://www.wikidata.org/wiki/Q100299227,,,file format,Q235557,,normal,
fc7,wikidata,Q105855205,FastCAD for Windows drawing (V7),file format,,,https://www.wikidata.org/wiki/Q105855205,,,file format,Q235557,,normal,
fcd,wikidata,Q100297628,"Flow Charting file format, version 3",file format,,,https://www.wikidata.org/wiki/Q100297628,,,file format,Q235557,,normal,
fcd,wikidata,Q105855444,FidoCAD drawing,file format,,,https://www.wikidata.org/wiki/Q105855444,,text/plain,file format,Q235557,,normal,
fcd,wikidata,Q113557107,"Virtual CD-ROM, Uncompressed",file format,,,https://www.wikidata.org/wiki/Q113557107,,,file format,Q235557,,normal,
fcd,wikidata,Q67206685,FastCAD DOS file,file format,.fcd,,https://www.wikidata.org/wiki/Q67206685,,http://www.wikidata.org/.well-known/genid/650d6c7450b6fc3aae5acf0b90172091,file format,Q235557,,normal,
fcf,wikidata,Q105855422,Thrustmaster TARGET profile,file format,,,https://www.wikidata.org/wiki/Q105855422,,text/xml,file format,Q235557,,normal,
fcf,wikidata,Q113674382,File Converter Document,file format,File Converter - Final Draft; File Converter,,https://www.wikidata.org/wiki/Q113674382,,,file format,Q235557,,normal,
fcgi,wikidata,Q34285652,Perl Common Gateway Interface script,file format,.cgi; .fcgi,,https://www.wikidata.org/wiki/Q34285652,,,file format,Q235557,,normal,
fchk,wikidata,Q95999394,Formatted Checkpoint file,file format for quantum chemistry calculation results,.fchk,,https://www.wikidata.org/wiki/Q95999394,,chemical/x-gaussian-checkpoint,file format,Q235557,,normal,
fchs,wikidata,Q27967185,Fuchs Tracker,file format,.fchs; .ft,,https://www.wikidata.org/wiki/Q27967185,,,file format,Q235557,,normal,
fcl,wikidata,Q105855485,FidoCAD Library,file format,,,https://www.wikidata.org/wiki/Q105855485,,,file format,Q235557,,normal,
fclr,wikidata,Q105855397,Flowgorithm Color scheme,file format,,,https://www.wikidata.org/wiki/Q105855397,,text/ini,file format,Q235557,,normal,
fcm,wikidata,Q105855153,FidoCAD Macro,file format,,,https://www.wikidata.org/wiki/Q105855153,,,file format,Q235557,,normal,
fcm,wikidata,Q105855420,FCE-Ultra movie capture,file format,,,https://www.wikidata.org/wiki/Q105855420,,application/octet-stream,file format,Q235557,,normal,
fcm,wikidata,Q27967184,FC-M Packer module,file format,.fcm,,https://www.wikidata.org/wiki/Q27967184,,,file format,Q235557,,normal,
fcm,wikidata,Q34740349,Softdisk Family Tree 1 Comment Data,file format,.fcm; Softdisk Family Tree Version 1 Comment Data,,https://www.wikidata.org/wiki/Q34740349,,,file format,Q235557,,normal,
fco,wikidata,Q27979385,Fractal Image And Sequence Codec,file format,FIASCO; .fco,,https://www.wikidata.org/wiki/Q27979385,,application/octet-stream,file format,Q235557,,normal,
fconfig,wikidata,Q125134354,YAM Folder Configuration,file format,YFC1,,https://www.wikidata.org/wiki/Q125134354,,,file format,Q235557,,normal,
fcp,wikidata,Q105855226,FontCreator Project,file format,,,https://www.wikidata.org/wiki/Q105855226,,application/octet-stream,file format,Q235557,,normal,
fcp,wikidata,Q133575413,Face Painter file,file format,,,https://www.wikidata.org/wiki/Q133575413,,image/x-face-painter,file format,Q235557,,normal,
fcp,wikidata,Q56653770,Final Cut Pro Project,legacy file format used by Final Cut Pro software,.fcp; FCP; Final Cut Pro Project File,,https://www.wikidata.org/wiki/Q56653770,,,file format,Q235557,,normal,
fcpx,wikidata,Q28919125,Final Cut Pro X project,file format,FCP XML; .fcpx,,https://www.wikidata.org/wiki/Q28919125,,,file format,Q235557,,normal,
fcpxml,wikidata,Q105855267,Final Cut Pro X XML project,file format,FCPXML Interchange Format,,https://www.wikidata.org/wiki/Q105855267,,,file format,Q235557,,normal,
fcs,wikidata,Q105855131,Flow Cytometry Standard format,file format,Flow Cytometry Standard File; Flow Cytometry Standard,Flow Cytometry Standard,https://www.wikidata.org/wiki/Q105855131,https://en.wikipedia.org/wiki/Flow_Cytometry_Standard,application/vnd.isac.fcs,file format; technical standard,Q235557; Q317623,,normal,
