pl_id,ext,source,strength,source_key,evidence
pl/erlang-programming-language,.hrl,pygments,secondary,ErlangLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/erlang-programming-language,.es,pygments,secondary,ErlangLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/erlang-programming-language,.escript,pygments,secondary,ErlangLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/euphoria,.e,linguist,primary,Euphoria,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/euphoria,.ex,linguist,secondary,Euphoria,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/euphoria,.ex,pygments,primary,ElixirLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/euphoria,.eex,pygments,secondary,ElixirLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/euphoria,.exs,pygments,secondary,ElixirLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/euphoria,.leex,pygments,secondary,ElixirLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/execline,.exec,pygments,primary,ExeclineLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/extempore,.xtm,pygments,primary,XtlangLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/ezhil,.n,pygments,primary,EzhilLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/f,.fst,linguist,primary,F*,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/f,.fsti,linguist,secondary,F*,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/f,.fst,pygments,primary,FStarLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/f,.fsti,pygments,secondary,FStarLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/f-sharp,.fs,linguist,primary,F#,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/f-sharp,.fsi,linguist,secondary,F#,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/f-sharp,.fsx,linguist,secondary,F#,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/f-sharp,.fs,pygments,primary,FSharpLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/f-sharp,.fsi,pygments,secondary,FSharpLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/f-sharp,.fsx,pygments,secondary,FSharpLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/factor,.factor,linguist,primary,Factor,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/factor,.factor,pygments,primary,FactorLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/factor-programming-language,.factor,pygments,primary,FactorLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/fancy,.fy,linguist,primary,Fancy,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/fancy,.fancypack,linguist,secondary,Fancy,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/fancy,.fy,pygments,primary,FancyLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/fancy,.fancypack,pygments,secondary,FancyLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/fantom,.fan,linguist,primary,Fantom,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/fantom,.fan,pygments,primary,FantomLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/faust,.dsp,linguist,primary,Faust,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/felix,.flx,pygments,primary,FelixLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/felix,.flxh,pygments,secondary,FelixLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/fennel,.fnl,linguist,primary,Fennel,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/fennel,.fnl,pygments,primary,FennelLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/figlet-font,.flf,linguist,primary,FIGlet Font,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/filebench-wml,.f,linguist,primary,Filebench WML,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/filterscript,.fs,linguist,primary,Filterscript,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/filterscript,.frt,pygments,primary,ForthLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/filterscript,.fs,pygments,secondary,ForthLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/firrtl,.fir,linguist,primary,FIRRTL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/fish,.fish,linguist,primary,fish,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/fish,.fish,pygments,primary,FishShellLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/fish,.load,pygments,secondary,FishShellLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/flatbuffers,.fbs,linguist,primary,FlatBuffers,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/flix,.flix,linguist,primary,Flix,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/floscript,.flo,pygments,primary,FloScriptLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/fluent,.ftl,linguist,primary,Fluent,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/flux,.fx,linguist,primary,FLUX,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/flux,.flux,linguist,secondary,FLUX,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/formatted,.for,linguist,primary,Formatted,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/forth,.fth,linguist,primary,Forth,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/forth,.4th,linguist,secondary,Forth,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/forth,.f,linguist,secondary,Forth,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/forth,.for,linguist,secondary,Forth,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/forth,.forth,linguist,secondary,Forth,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/forth,.fr,linguist,secondary,Forth,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/forth,.frt,linguist,secondary,Forth,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/forth,.fs,linguist,secondary,Forth,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/forth,.frt,pygments,primary,ForthLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/forth,.fs,pygments,secondary,ForthLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/forth-programming-language,.frt,pygments,primary,ForthLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/forth-programming-language,.fs,pygments,secondary,ForthLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/fortran,.f,linguist,primary,Fortran,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/fortran,.f77,linguist,secondary,Fortran,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/fortran,.for,linguist,secondary,Fortran,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/fortran,.fpp,linguist,secondary,Fortran,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/fortran,.f03,pygments,primary,FortranLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/fortran,.f90,pygments,secondary,FortranLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/fortran-free-form,.f90,linguist,primary,Fortran Free Form,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/fortran-free-form,.f03,linguist,secondary,Fortran Free Form,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/fortran-free-form,.f08,linguist,secondary,Fortran Free Form,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/fortran-free-form,.f95,linguist,secondary,Fortran Free Form,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/fortran-free-form,.f03,pygments,primary,FortranLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/fortran-free-form,.f90,pygments,secondary,FortranLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/foxpro,.prg,pygments,primary,FoxProLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/freebasic,.bi,linguist,primary,FreeBASIC,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/freebasic,.bas,linguist,secondary,FreeBASIC,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/freebasic,.vb,pygments,primary,VbNetLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/freebasic,.bas,pygments,secondary,VbNetLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/freefem,.edp,pygments,primary,FreeFemLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/freemarker,.ftl,linguist,primary,FreeMarker,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/freemarker,.ftlh,linguist,secondary,FreeMarker,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/frege,.fr,linguist,primary,Frege,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/fstar,.fst,pygments,primary,FStarLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/fstar,.fsti,pygments,secondary,FStarLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/func,.fc,pygments,primary,FuncLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/func,.func,pygments,secondary,FuncLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/futhark,.fut,linguist,primary,Futhark,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/futhark,.fut,pygments,primary,FutharkLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/g-code,.g,linguist,primary,G-code,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/g-code,.cnc,linguist,secondary,G-code,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/g-code,.gco,linguist,secondary,G-code,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/g-code,.gcode,linguist,secondary,G-code,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/g-code,.gcode,pygments,primary,GcodeLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/game-maker-language,.gml,linguist,primary,Game Maker Language,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gaml,.gaml,linguist,primary,GAML,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gams,.gms,linguist,primary,GAMS,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gap,.g,linguist,primary,GAP,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gap,.gap,linguist,secondary,GAP,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gap,.gd,linguist,secondary,GAP,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gap,.gi,linguist,secondary,GAP,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gap,.tst,linguist,secondary,GAP,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gap,.g,pygments,primary,GAPLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gap,.gd,pygments,secondary,GAPLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gap,.gi,pygments,secondary,GAPLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gap,.gap,pygments,secondary,GAPLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gas,.s,pygments,primary,GasLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gcc-machine-description,.md,linguist,primary,GCC Machine Description,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gcc-machine-description,.md,pygments,primary,MarkdownLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gcc-machine-description,.markdown,pygments,secondary,MarkdownLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gdb,.gdb,linguist,primary,GDB,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gdb,.gdbinit,linguist,secondary,GDB,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gdscript,.gd,linguist,primary,GDScript,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gdscript,.gd,pygments,primary,GDScriptLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gdshader,.gdshader,linguist,primary,GDShader,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gdshader,.gdshaderinc,linguist,secondary,GDShader,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gedcom,.ged,linguist,primary,GEDCOM,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gemini,.gmi,linguist,primary,Gemini,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/genero-4gl,.4gl,linguist,primary,Genero 4gl,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/genero-per,.per,linguist,primary,Genero per,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/genie,.gs,linguist,primary,Genie,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/genie,.gs,pygments,primary,GosuLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/genie,.gsx,pygments,secondary,GosuLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/genie,.gsp,pygments,secondary,GosuLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/genie,.vark,pygments,secondary,GosuLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/genshi,.kid,linguist,primary,Genshi,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/genshi,.kid,pygments,primary,GenshiLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gentoo-eclass,.eclass,linguist,primary,Gentoo Eclass,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gentoo-eclass,.sh,pygments,primary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gentoo-eclass,.ksh,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gentoo-eclass,.bash,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gentoo-eclass,.ebuild,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gentoo-eclass,.eclass,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gentoo-eclass,.exheres-0,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gentoo-eclass,.exlib,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gentoo-eclass,.zsh,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gentoo-eclass,.bashrc,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gentoo-eclass,.zshrc,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gentoo-eclass,.kshrc,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gentoo-eclass,.pkgbuild,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gentoo-ebuild,.ebuild,linguist,primary,Gentoo Ebuild,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gentoo-ebuild,.sh,pygments,primary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gentoo-ebuild,.ksh,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gentoo-ebuild,.bash,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gentoo-ebuild,.ebuild,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gentoo-ebuild,.eclass,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gentoo-ebuild,.exheres-0,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gentoo-ebuild,.exlib,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gentoo-ebuild,.zsh,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gentoo-ebuild,.bashrc,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gentoo-ebuild,.zshrc,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gentoo-ebuild,.kshrc,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gentoo-ebuild,.pkgbuild,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gerber-image,.gbr,linguist,primary,Gerber Image,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gerber-image,.cmp,linguist,secondary,Gerber Image,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gerber-image,.gbl,linguist,secondary,Gerber Image,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gerber-image,.gbo,linguist,secondary,Gerber Image,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gerber-image,.gbp,linguist,secondary,Gerber Image,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gerber-image,.gbs,linguist,secondary,Gerber Image,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gerber-image,.gko,linguist,secondary,Gerber Image,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gerber-image,.gml,linguist,secondary,Gerber Image,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gerber-image,.gpb,linguist,secondary,Gerber Image,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gerber-image,.gpt,linguist,secondary,Gerber Image,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gerber-image,.gtl,linguist,secondary,Gerber Image,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gerber-image,.gto,linguist,secondary,Gerber Image,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gerber-image,.gtp,linguist,secondary,Gerber Image,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gerber-image,.gts,linguist,secondary,Gerber Image,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gerber-image,.ncl,linguist,secondary,Gerber Image,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gerber-image,.sol,linguist,secondary,Gerber Image,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gerber-image,.sol,pygments,primary,SolidityLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gettext-catalog,.po,linguist,primary,Gettext Catalog,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gettext-catalog,.pot,linguist,secondary,Gettext Catalog,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gettext-catalog,.pot,pygments,primary,GettextLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gettext-catalog,.po,pygments,secondary,GettextLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gherkin,.feature,linguist,primary,Gherkin,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gherkin,.story,linguist,secondary,Gherkin,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gherkin,.feature,pygments,primary,GherkinLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/git-config,.gitconfig,linguist,primary,Git Config,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gleam,.gleam,linguist,primary,Gleam,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gleam,.gleam,pygments,primary,GleamLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/glimmer-js,.gjs,linguist,primary,Glimmer JS,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glimmer-ts,.gts,linguist,primary,Glimmer TS,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glsl,.glsl,linguist,primary,GLSL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glsl,.fp,linguist,secondary,GLSL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glsl,.frag,linguist,secondary,GLSL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glsl,.frg,linguist,secondary,GLSL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glsl,.fs,linguist,secondary,GLSL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glsl,.fsh,linguist,secondary,GLSL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glsl,.fshader,linguist,secondary,GLSL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glsl,.geo,linguist,secondary,GLSL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glsl,.geom,linguist,secondary,GLSL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glsl,.glslf,linguist,secondary,GLSL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glsl,.glslv,linguist,secondary,GLSL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glsl,.gs,linguist,secondary,GLSL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glsl,.gshader,linguist,secondary,GLSL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glsl,.rchit,linguist,secondary,GLSL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glsl,.rmiss,linguist,secondary,GLSL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glsl,.shader,linguist,secondary,GLSL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glsl,.tesc,linguist,secondary,GLSL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glsl,.tese,linguist,secondary,GLSL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glsl,.vert,linguist,secondary,GLSL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glsl,.vrx,linguist,secondary,GLSL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glsl,.vs,linguist,secondary,GLSL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glsl,.vsh,linguist,secondary,GLSL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glsl,.vshader,linguist,secondary,GLSL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glsl,.vert,pygments,primary,GLShaderLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/glsl,.frag,pygments,secondary,GLShaderLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/glsl,.geo,pygments,secondary,GLShaderLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/glyph,.glf,linguist,primary,Glyph,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/glyph-bitmap-distribution-format,.bdf,linguist,primary,Glyph Bitmap Distribution Format,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gn,.gn,linguist,primary,GN,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gn,.gni,linguist,secondary,GN,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gnuplot,.gp,linguist,primary,Gnuplot,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gnuplot,.gnu,linguist,secondary,Gnuplot,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gnuplot,.gnuplot,linguist,secondary,Gnuplot,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gnuplot,.p,linguist,secondary,Gnuplot,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gnuplot,.plot,linguist,secondary,Gnuplot,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gnuplot,.plt,linguist,secondary,Gnuplot,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gnuplot,.plot,pygments,primary,GnuplotLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gnuplot,.plt,pygments,secondary,GnuplotLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/go,.go,linguist,primary,Go,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/go,.go,pygments,primary,GoLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/go-programming-language,.go,pygments,primary,GoLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/go-template,.gohtml,linguist,primary,Go Template,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/go-template,.gotmpl,linguist,secondary,Go Template,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/go-template,.tmpl,linguist,secondary,Go Template,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/go-template,.tpl,linguist,secondary,Go Template,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/go-template,.tmpl,pygments,primary,CheetahLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/go-template,.spt,pygments,secondary,CheetahLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/godot-resource,.gdnlib,linguist,primary,Godot Resource,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/godot-resource,.gdns,linguist,secondary,Godot Resource,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/godot-resource,.tres,linguist,secondary,Godot Resource,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/godot-resource,.tscn,linguist,secondary,Godot Resource,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/golo,.golo,linguist,primary,Golo,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/golo,.golo,pygments,primary,GoloLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/golo-programming-language,.golo,pygments,primary,GoloLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gosu,.gs,linguist,primary,Gosu,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gosu,.gst,linguist,secondary,Gosu,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gosu,.gsx,linguist,secondary,Gosu,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gosu,.vark,linguist,secondary,Gosu,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/gosu,.gs,pygments,primary,GosuLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gosu,.gsx,pygments,secondary,GosuLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gosu,.gsp,pygments,secondary,GosuLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/gosu,.vark,pygments,secondary,GosuLexer,pygments.lexers._mapping.LEXERS (via master CSV)
