ext,n_claimants,n_primary,n_secondary,n_unknown,primary_claimants,secondary_claimants,unknown_claimants
.gts,2,1,1,0,Glimmer TS,gerber-image,
.guide,1,1,0,0,guide,,
.gv,2,2,0,0,dot; Graphviz (DOT),,
.gvimrc,2,0,2,0,,vim; vim-script,
.gvy,2,1,1,0,Apache Groovy,groovy,
.gw,1,1,0,0,leda,,
.gy,1,1,0,0,Apache Groovy,,
.gyp,1,0,1,0,,Python,
.gypi,1,0,1,0,,Python,
.gz,1,0,1,0,,gzip,
.gzip,1,1,0,0,gzip,,
.h,5,3,2,0,C; C++; objective-c,C (programming language); cpp,
.h++,2,1,1,0,C++,cpp,
.h4,1,0,1,0,,hdf,
.h5,1,0,1,0,,hdf,
.ha,2,2,0,0,HA; hare,,
.hack,1,1,0,0,hack,,
.haml,1,1,0,0,haml,,
.handlebars,1,1,0,0,handlebars,,
.har,1,0,1,0,,JSON,
.hats,1,0,1,0,,ats,
.hb,1,1,0,0,harbour,,
.hbp,1,0,0,0,,,
.hbs,1,0,1,0,,handlebars,
.hc,1,1,0,0,holyc,,
.hcc,1,0,0,0,,,
.hch,1,0,0,0,,,
.hcl,2,1,1,0,hcl,TF,
.hdf,1,0,1,0,,hdf,
.hdf4,1,0,1,0,,hdf,
.hdf5,1,0,1,0,,hdf,
.hdt,1,0,0,0,,,
.he2,1,1,0,0,hdf,,
.he5,1,0,1,0,,hdf,
.heex,1,0,1,0,,HTML+EEX,
.heml,1,0,0,0,,,
.hex,1,1,0,0,hugo,,
.hfs,1,1,0,0,hfs,,
.hh,4,1,3,0,C++,cpp; hack; Objective-C++,
.hhi,1,0,1,0,,hack,
.hic,1,0,1,0,,clojure,
.hip,1,1,0,0,HIP,,
.hjson,1,1,0,0,hjson,,
.hlean,1,0,1,0,,lean,
.hlsl,1,1,0,0,hlsl,,
.hlsli,1,0,1,0,,hlsl,
.hocon,1,1,0,0,hocon,,
.hocr,1,1,0,0,hOCR,,
.hoon,1,1,0,0,hoon,,
.hpp,2,1,1,0,C++,cpp,
.hqf,1,0,1,0,,SQF,
.hql,1,0,1,0,,hiveql,
.hrl,2,0,2,0,,erlang; Erlang (programming language),
.hs,2,2,0,0,haskell; HS,,
.hs-boot,1,0,1,0,,haskell,
.hsc,1,0,1,0,,haskell,
.hta,3,0,1,0,,html,
.htaccess,2,2,0,0,apache; apacheconf,,
.htm,3,1,1,0,html,Ecmarkup,
.html,4,2,0,0,Ecmarkup; html,,
.http,1,1,0,0,http,,
.hurl,1,1,0,0,hurl,,
.hx,1,1,0,0,haxe,,
.hxml,2,1,0,0,hxml,,
.hxsl,1,0,1,0,,haxe,
.hxx,2,1,1,0,C++,cpp,
.hy,1,1,0,0,hy,,
.hzp,1,0,1,0,,xml,
.i,8,1,6,0,SWIG,Assembly; cool; Motorola 68K Assembly; opencl; Proguard; qmake,
.i3,1,1,0,0,Modula-3,,
.i7x,1,0,1,0,,Inform 7,
.ical,1,0,1,0,,iCalendar,
.icalendar,1,0,1,0,,iCalendar,
.ice,2,1,1,0,slice,JSON,
.iced,1,0,1,0,,coffeescript,
.icl,1,1,0,0,clean,,
.icml,1,1,0,0,icml,,
.icn,1,1,0,0,unicon,,
.icon,1,1,0,0,icon,,
.ics,1,1,0,0,iCalendar,,
.id_dsa,3,0,3,0,,ags-script; asciidoc; Public Key,
.id_ecdsa,3,0,3,0,,ags-script; asciidoc; Public Key,
.id_ecdsa_sk,3,0,3,0,,ags-script; asciidoc; Public Key,
.id_ed25519,3,0,3,0,,ags-script; asciidoc; Public Key,
.id_rsa,3,0,3,0,,ags-script; asciidoc; Public Key,
.idc,2,0,2,0,,C; C (programming language),
.idl,1,1,0,0,omg-idl,,
.idml,1,0,0,0,,,
.idr,1,1,0,0,idris,,
.ifb,1,0,1,0,,iCalendar,
.ifbf,1,0,1,0,,iCalendar,
.iff,1,0,1,0,,ilbm,
.ifo,1,1,0,0,ifo,,
.ig,1,0,1,0,,Modula-3,
.iges,1,0,1,0,,iges,
.igs,1,1,0,0,iges,,
.ihlp,1,0,1,0,,stata,
.iif,1,1,0,0,iif,,
.ijm,1,1,0,0,ImageJ Macro,,
.ijs,2,2,0,0,j; J (programming language),,
.ik,1,1,0,0,ioke,,
.ilbm,1,0,1,0,,ilbm,
.ily,1,0,1,0,,lilypond,
.image,1,0,0,0,,,
.imba,1,1,0,0,imba,,
.ime,1,0,1,0,,Pe,
.imf,1,1,0,0,imf,,
.iml,1,0,1,0,,xml,
.inc,14,1,12,0,pawn,Assembly; bitbake; C++; hack; html; Motorola 68K Assembly; NASL; pascal; php; pov-ray-sdl; sourcepawn; sql,
.inf,3,1,2,0,inform,HAProxy; ini,
.ini,3,2,0,0,HAProxy; ini,,
.ink,1,1,0,0,ink,,
.inkml,1,1,0,0,InkML,,
.inl,1,0,1,0,,C++,
.ino,2,1,1,0,arduino,C++,
.input,1,1,0,0,FriCAS,,
.ins,1,0,1,0,,tex,
.intr,1,0,1,0,,dylan,
.io,2,2,0,0,io; Io (programming language),,
.iol,1,0,1,0,,jolie,
.ion,1,0,0,0,,,
.ipf,2,2,0,0,igor-pro; ipf,,
.ipk,1,0,1,0,,deb,
.ipp,1,0,1,0,,C++,
.ipynb,1,1,0,0,jupyter-notebook,,
.irclog,1,1,0,0,irc-log,,
.isl,1,0,1,0,,inno-setup,
.ism,1,1,0,0,Geometric Description Language,,
.ispc,1,1,0,0,ISPC,,
.iss,1,1,0,0,inno-setup,,
.itm,1,0,0,0,,,
.itmx,1,0,0,0,,,
.iuml,1,0,1,0,,plantuml,
.ivy,1,0,1,0,,xml,
.ixx,1,0,1,0,,C++,
.j,2,2,0,0,jasmin; objective-j,,
.j2,1,0,1,0,,jinja,
.jac,1,1,0,0,Jac,,
.jad,1,1,0,0,java,,
.jade,2,1,1,0,pug,jade,
.jai,1,1,0,0,jai,,
.jake,1,0,1,0,,javascript,
.janet,1,1,0,0,janet,,
.jap,1,0,0,0,,,
.jar,1,1,0,0,java,,
.jav,1,0,1,0,,java,
.java,2,2,0,0,java; Java (programming language),,
.javascript,1,0,1,0,,javascript,
.jbst,1,0,1,0,,duel,
.jbuilder,1,0,1,0,,ruby,
.jcl,1,1,0,0,jcl,,
.jdn,1,0,1,0,,janet,
.jelly,1,0,1,0,,xml,
.jfi,1,0,1,0,,jpeg,
.jfif,1,0,1,0,,jpeg,
.jflex,1,0,1,0,,jflex,
.jinja,1,1,0,0,jinja,,
.jinja2,1,0,1,0,,jinja,
.jison,1,1,0,0,jison,,
.jisonlex,1,1,0,0,jison-lex,,
.jisp,1,1,0,0,jisp,,
.jl,2,2,0,0,julia; Julia (programming language),,
.jml,1,0,0,0,,,
.jmod,1,1,0,0,java,,
.jp,1,1,0,0,jmespath,,
.jpe,1,0,1,0,,jpeg,
.jpeg,1,0,1,0,,jpeg,
.jpg,1,1,0,0,jpeg,,
.jpp,1,1,0,0,JS++,,
.jq,2,2,0,0,jq; jsoniq,,
.jqy,1,0,0,0,,,
.js,5,2,0,0,javascript; JSFuck,,
.js++,1,1,0,0,JS++,,
.jsb,1,0,1,0,,javascript,
.jscad,1,0,1,0,,javascript,
.jse,1,0,0,0,,,
.jsfl,1,0,1,0,,javascript,
.jsgf,1,1,0,0,jsgf,,
.jsh,1,0,1,0,,java,
.jslib,1,0,1,0,,javascript,
.jslt,1,1,0,0,jslt,,
.jsm,1,0,1,0,,javascript,
.json,4,4,0,0,geojson; JSON; OASv2-json; OASv3-json,,
.json5,1,1,0,0,json5,,
.jsonc,1,1,0,0,JSON with Comments,,
.jsonl,3,0,3,0,,JSON; OASv2-json; OASv3-json,
.jsonld,1,1,0,0,JSONLD,,
.jsonnet,1,1,0,0,Jsonnet,,
.jsp,1,1,0,0,java-server-pages,,
.jspp,1,1,0,0,JS++,,
.jspre,1,0,1,0,,javascript,
.jsproj,1,0,1,0,,xml,
.jss,1,0,1,0,,javascript,
.jst,1,0,1,0,,ejs,
.jsx,2,1,1,0,jsx,javascript,
.jsxbin,1,1,0,0,ExtendScript,,
.jte,1,1,0,0,Java Template Engine,,
.just,1,1,0,0,just,,
.juttle,1,1,0,0,juttle,,
.jy,6,0,6,0,,bazel; py; Python; Python (programming language); sage; starlark,
.k,3,3,0,0,k; kcl; KFramework,,
.kak,1,1,0,0,KakouneScript,,
.kal,1,1,0,0,kal,,
.kdl,1,1,0,0,kdl,,
.kexe,1,0,0,0,,,
.kicad_mod,1,0,1,0,,KiCad Layout,
.kicad_pcb,1,1,0,0,KiCad Layout,,
.kicad_sch,1,1,0,0,KiCad Schematic,,
.kicad_sym,1,0,1,0,,KiCad Schematic,
.kicad_wks,1,0,1,0,,KiCad Layout,
.kid,2,2,0,0,genshi; kid,,
.kif,2,0,2,0,,newlisp; nl,
.kit,1,1,0,0,kit,,
.kix,1,1,0,0,kixtart,,
.kk,1,1,0,0,koka,,
.kki,1,0,1,0,,koka,
.klib,1,0,0,0,,,
.kml,1,0,1,0,,xml,
.kmz,2,0,0,0,,,
.kn,1,1,0,0,kuin,,
.kojo,2,0,1,0,,scala,
.kql,1,1,0,0,Kusto,,
.krl,1,1,0,0,krl,,
.ks,2,2,0,0,KerboScript; Kickstart,,
.ksh,6,0,6,0,,bash; Gentoo Eclass; gentoo-ebuild; openrc-runscript; sh; Shell,
.kshrc,6,0,6,0,,bash; Gentoo Eclass; gentoo-ebuild; openrc-runscript; sh; Shell,
.ksy,1,1,0,0,Kaitai Struct,,
.kt,1,1,0,0,kotlin,,
.ktm,1,0,1,0,,kotlin,
.kts,1,1,0,0,kotlin,,
.kum,1,1,0,0,kumir,,
.kusto,1,0,1,0,,Kusto,
.kv,1,1,0,0,kvlang,,
.l,4,2,2,0,lex; picolisp,common-lisp; roff,
.lagda,2,2,0,0,agda; literate-agda,,
.langium,1,1,0,0,Langium,,
.lark,1,1,0,0,Lark,,
.las,1,0,1,0,,lasso,
.lasso,1,1,0,0,lasso,,
.lasso8,1,0,1,0,,lasso,
.lasso9,1,0,1,0,,lasso,
.lassoapp,1,0,0,0,,,
.latte,1,1,0,0,latte,,
.launch,1,0,1,0,,xml,
.lbm,1,0,1,0,,ilbm,
.lbx,1,0,1,0,,tex,
.ld,1,1,0,0,linker-script,,
.lds,1,0,1,0,,linker-script,
.lean,2,2,0,0,lean; Lean 4,,
.leex,4,0,4,0,,elixir; Elixir (programming language); euphoria; HTML+EEX,
.leo,1,1,0,0,Leo,,
.less,1,1,0,0,less,,
.lex,1,0,1,0,,lex,
.lfe,1,1,0,0,lfe,,
.lgr,1,0,1,0,,leda,
.lgt,1,1,0,0,logtalk,,
.lhs,2,2,0,0,haskell; literate-haskell,,
.libsonnet,1,0,1,0,,Jsonnet,
.lid,1,0,1,0,,dylan,
.lidr,1,1,0,0,idris,,
.ligo,1,1,0,0,LigoLANG,,
.linq,1,0,1,0,,C#,
.liq,1,1,0,0,Liquidsoap,,
.liquid,1,1,0,0,liquid,,
.lisp,4,1,2,0,common-lisp,lisp; newlisp,
.litcoffee,2,1,0,0,literate-coffeescript,,
.livemd,1,0,1,0,,markdown,
.lkml,1,1,0,0,lookml,,
.ll,1,1,0,0,LLVM,,
.lmi,1,0,1,0,,Python,
.lmp,1,1,0,0,Geometric Description Language,,
.load,1,0,1,0,,fish,
.logtalk,1,0,1,0,,logtalk,
.lol,1,1,0,0,lolcode,,
.lols,1,1,0,0,lolcode,,
.lookml,1,0,1,0,,lookml,
.lp,3,3,0,0,Answer Set Programming; Lambdapi; Linear Programming,,
.lpr,1,0,1,0,,pascal,
.ls,2,2,0,0,livescript; loomscript,,
.lsl,1,1,0,0,lsl,,
.lslp,1,0,1,0,,lsl,
.lsp,4,3,1,0,newlisp; nl; nyquist,common-lisp,
.ltx,1,0,1,0,,tex,
.lu,1,0,0,0,,,
.lua,1,1,0,0,lua,,
.luau,1,1,0,0,luau,,
.luna,1,1,0,0,lua,,
.lunaire,1,1,0,0,lua,,
.lvclass,1,0,1,0,,labview,
.lvlib,1,0,1,0,,labview,
.lvproj,1,1,0,0,labview,,
.ly,1,1,0,0,lilypond,,
.m,12,8,3,0,m4; matlab; mercury; Monkey C; objective-c; octave; Win32 Message File; Wolfram Language,limbo; M; muf,
.m2,2,1,0,0,Macaulay2,,
.m3,1,0,1,0,,Modula-3,
.m3u,1,1,0,0,M3U,,
.m3u8,1,1,0,0,M3U,,
.m4,2,2,0,0,m4; m4sugar,,
.m4a,1,0,1,0,,mp4,
.m4b,1,0,1,0,,mp4,
.m4p,1,0,1,0,,mp4,
.m4r,1,0,1,0,,mp4,
.m4v,1,1,0,0,mp4,,
.ma,4,0,4,0,,mathematica; NB; wolfram; Wolfram Language,
.mac,4,2,1,0,macsyma; maxima,easytrieve,
.magma,1,1,0,0,magma,,
.mak,2,2,0,0,make; Makefile,,
.make,1,0,1,0,,Makefile,
.makefile,2,0,2,0,,make; Makefile,
.mako,1,1,0,0,mako,,
.mal,1,0,0,0,,,
.man,4,4,0,0,groff; nroff; roff; Roff Manpage,,
.mao,1,1,0,0,mako,,
.mapcss,1,0,0,0,,,
.markdown,2,1,1,0,markdown,gcc-machine-description,
.marko,1,1,0,0,marko,,
.mask,2,2,0,0,Mask; unity3d-asset,,
.mat,2,1,1,0,matlab,unity3d-asset,
.mata,1,0,1,0,,stata,
.matah,1,0,1,0,,stata,
.mathematica,1,1,0,0,Wolfram Language,,
.matlab,1,1,0,0,matlab,,
.mawk,1,0,1,0,,awk,
.max,2,0,2,0,,macsyma; maxima,
.maxhelp,1,0,1,0,,max,
.maxpat,1,1,0,0,max,,
.maxproj,1,0,1,0,,max,
.mb,1,0,0,0,,,
.mbk,1,1,0,0,STOS BASIC,,
.mbox,2,1,1,0,mbox,E-mail,
.mbs,1,1,0,0,STOS BASIC,,
.mbt,1,1,0,0,MoonBit,,
.mbx,1,0,1,0,,mbox,
.mc,3,2,1,0,Monkey C; Win32 Message File,m4,
.mcf,1,1,0,0,mcfunction,,
.mcfunction,1,1,0,0,mcfunction,,
.mch,1,1,0,0,B (Formal Method),,
.mcmeta,1,0,1,0,,JSON,
.mcml,1,0,0,0,,,
.mcr,1,0,1,0,,maxscript,
.md,3,2,0,0,gcc-machine-description; markdown,,
.md2,1,0,1,0,,Checksums,
.md4,1,0,1,0,,Checksums,
.md5,1,0,1,0,,Checksums,
.mdoc,2,0,2,0,,roff; Roff Manpage,
.mdown,1,1,0,0,markdown,,
.mdp,1,1,0,0,Microsoft Developer Studio Project,,
.mdpolicy,1,0,1,0,,xml,
.mdtext,1,1,0,0,markdown,,
.mdtxt,1,1,0,0,markdown,,
.mdwn,1,0,1,0,,markdown,
.mdx,1,1,0,0,mdx,,
.me,1,0,1,0,,roff,
.mediawiki,1,1,0,0,Wikitext,,
.mermaid,1,0,1,0,,mermaid,
.mesh,1,1,0,0,mesh,,
.meta,1,0,1,0,,unity3d-asset,
.metal,1,1,0,0,metal,,
.metta,1,1,0,0,MeTTa,,
.mex,1,0,0,0,,,
.mg,1,0,1,0,,Modula-3,
.mhtml,3,0,3,0,,m4; Monkey C; Win32 Message File,
.mi,6,0,5,0,,JetBrains MPS; m4; maple; Monkey C; Win32 Message File,
.minid,1,1,0,0,minid,,
.mint,1,1,0,0,mint,,
.mips,1,1,0,0,mips,,
.mir,1,0,1,0,,YAML,
.mirah,1,0,1,0,,mirah,
.mix,1,1,0,0,MIX,,
.miz,1,0,0,0,,,
.mjml,1,0,1,0,,xml,
.mjs,1,1,0,0,javascript,,
.mk,2,0,2,0,,make; Makefile,
.mk3d,1,0,1,0,,matroska,
.mka,1,0,1,0,,matroska,
.mkd,1,1,0,0,markdown,,
.mkdn,1,0,1,0,,markdown,
.mkdown,1,0,1,0,,markdown,
.mkfile,1,0,1,0,,Makefile,
.mkii,1,0,1,0,,tex,
.mkiv,1,0,1,0,,tex,
.mks,1,0,1,0,,matroska,
.mkv,2,1,1,0,matroska,Dirac,
.mkvi,1,0,1,0,,tex,
.ml,2,2,0,0,ocaml; standard-ml,,
.ml4,1,0,1,0,,ocaml,
.mlapp,1,1,0,0,matlab,,
.mlappinstall,1,1,0,0,matlab,,
.mli,1,1,0,0,ocaml,,
.mligo,1,1,0,0,CameLIGO,,
.mlir,1,1,0,0,mlir,,
.mll,1,0,1,0,,ocaml,
.mlpkginstall,1,1,0,0,matlab,,
.mltbx,1,1,0,0,matlab,,
.mlx,1,1,0,0,matlab,,
.mly,1,0,1,0,,ocaml,
.mm,5,2,3,0,objective-c; Objective-C++,JetBrains MPS; maple; xml,
.mmcif,1,1,0,0,mmcif,,
.mmd,1,1,0,0,mermaid,,
.mmk,1,0,1,0,,module-management-system,
.mml,1,1,0,0,mathml,,
.mms,1,1,0,0,module-management-system,,
.mo,2,2,0,0,modelica; Motoko,,
.mod,5,4,1,0,ampl; linux-kernel-module; modula-2; NMODL,xml,
.mojo,2,1,1,0,mojo,xml,
.monkey,1,1,0,0,monkey,,
.monkey2,1,0,1,0,,monkey,
.moo,3,3,0,0,mercury; moo; Moocode,,
.moon,1,1,0,0,MoonScript,,
.mov,1,0,1,0,,Mov,
.move,1,1,0,0,move,,
.mp3,1,1,0,0,mp3,,
.mp4,1,1,0,0,mp4,,
.mpd,1,1,0,0,dash,,
.mpf,1,0,0,0,,,
.mpl,2,2,0,0,JetBrains MPS; maple,,
.mps,2,2,0,0,JetBrains MPS; Mathematical Programming System,,
.mpt,1,0,0,0,,,
.mq4,3,3,0,0,mql; MQL4; MQL5,,
.mq5,3,1,2,0,MQL5,mql; MQL4,
.mqh,3,0,3,0,,mql; MQL4; MQL5,
.mrc,1,1,0,0,mIRC Script,,
.mrcx,1,1,0,0,MARCXML,,
.ms,3,2,1,0,maxscript; Unix Assembly,roff,
.ms2,1,1,0,0,ms2,,
.msc,1,1,0,0,mscgen,,
.msd,1,0,1,0,,JetBrains MPS,
.msg,2,2,0,0,OMNeT++ MSG; ROS Interface,,
.msl,4,1,0,0,MASL,,
.msm,1,1,0,0,Geometric Description Language,,
.mspec,1,0,1,0,,ruby,
.mss,1,1,0,0,cartocss,,
.mt,2,1,1,0,monte,Wolfram Language,
.mtl,1,1,0,0,wavefront-material,,
.mtml,1,1,0,0,mtml,,
.mts,1,0,1,0,,typescript,
.mu,1,1,0,0,mupad,,
.mud,1,0,1,0,,zil,
.muf,1,1,0,0,muf,,
.mui,1,0,1,0,,Pe,
.mumps,1,1,0,0,M,,
.muse,1,1,0,0,Muse,,
.musicxml,1,1,0,0,musicxml,,
.mustache,1,1,0,0,mustache,,
.mvpl,1,0,0,0,,,
.mxl,1,1,0,0,musicxml,,
.mxml,2,1,1,0,mxml,xml,
.mxt,1,0,1,0,,max,
.mysql,1,0,1,0,,sql,
.myt,1,1,0,0,myghty,,
.mzml,1,0,0,0,,,
.mzn,1,1,0,0,minizinc,,
.n,4,3,1,0,ezhil; neko; nemerle,roff,
.n3,2,0,1,0,,Web Ontology Language,
.nanorc,1,1,0,0,nanorc,,
.nas,2,1,1,0,nasal,Assembly,
.nasl,1,1,0,0,NASL,,
.nasm,2,0,2,0,,Assembly; nasm,
.natvis,1,0,1,0,,xml,
.nawk,1,0,1,0,,awk,
.nb,5,4,1,0,mathematica; NB; wolfram; Wolfram Language,Text,
.nbp,4,0,4,0,,mathematica; NB; wolfram; Wolfram Language,
.nbt,1,0,0,0,,,
.nc,2,1,0,0,nesc,,
.ncl,5,2,3,0,ncl; Nickel,gerber-image; Text; xml,
.ndf,1,0,0,0,,,
.ndjson,3,0,3,0,,JSON; OASv2-json; OASv3-json,
.ndproj,1,0,1,0,,xml,
.ne,1,1,0,0,nearley,,
.nearley,1,0,1,0,,nearley,
.ned,1,1,0,0,OMNeT++ NED,,
.neko,1,1,0,0,neko,,
.neon,1,1,0,0,NEON,,
.nexml,1,1,0,0,nexml,,
.nf,1,1,0,0,nextflow,,
.nginx,1,1,0,0,Nginx,,
.nginxconf,1,0,1,0,,Nginx,
.ni,1,1,0,0,Inform 7,,
.nim,3,3,0,0,nim; Nim (programming language); nimrod,,
.nimble,1,0,1,0,,nim,
.nimrod,3,0,3,0,,nim; Nim (programming language); nimrod,
.nims,1,1,0,0,nim,,
.ninja,1,1,0,0,ninja,,
.nit,1,1,0,0,nit,,
.nix,2,2,0,0,nix; nixos,,
.nj,1,0,1,0,,Nunjucks,
.njk,1,1,0,0,Nunjucks,,
.njs,1,0,1,0,,javascript,
.njx,1,1,0,0,Nunjucks,,
.nl,2,2,0,0,newlisp; nl,,
.nlg,1,0,0,0,,,
.nlogo,1,1,0,0,netlogo,,
.nlogo3d,1,0,0,0,,,
.nlogox,1,0,0,0,,,
.nls,1,0,0,0,,,
.no,1,0,1,0,,Text,
.nomad,1,0,1,0,,hcl,
.nova,1,1,0,0,SuperNova,,
.nproj,1,0,1,0,,xml,
.npy,1,1,0,0,numpy,,
.nqp,2,0,2,0,,raku; Raku (programming language),
.nr,2,1,1,0,Noir,roff,
.nrx,1,0,0,0,,,
.ns2,1,1,0,0,newspeak,,
.nse,1,0,1,0,,lua,
.nsh,1,0,1,0,,nsis,
.nsi,1,1,0,0,nsis,,
.nss,1,1,0,0,nwscript,,
.nt,1,1,0,0,nestedtext,,
.nu,2,2,0,0,nu; nushell,,
.numbers,1,1,0,0,Numbers,,
.numpy,1,1,0,0,numpy,,
.numpyw,1,0,1,0,,numpy,
.numsc,1,0,1,0,,numpy,
.nuspec,1,0,1,0,,xml,
.nut,1,1,0,0,squirrel,,
.nw,1,1,0,0,noweb,,
.ny,2,0,1,0,,common-lisp,
.o,2,1,1,0,coff,elf,
.oak,1,0,0,0,,,
.ob2,1,1,0,0,oberon,,
.obj,2,1,1,0,wavefront-object,coff,
.objdump,1,1,0,0,objdump,,
.obml,1,1,0,0,Opera Binary Markup Language,,
.obml15,1,1,0,0,Opera Binary Markup Language,,
.obml16,1,1,0,0,Opera Binary Markup Language,,
.odd,1,0,1,0,,xml,
.odin,2,2,0,0,Object Data Instance Notation; odin,,
.odl,1,0,0,0,,,
.ofc,1,1,0,0,OFC,,
.off,1,1,0,0,off,,
.ofx,1,1,0,0,ofx,,
.ogv,1,0,1,0,,Dirac,
.ogx,1,1,0,0,kate,,
.ol,1,1,0,0,jolie,,
.omgrofl,1,1,0,0,omgrofl,,
.ooc,1,1,0,0,ooc,,
.opa,1,1,0,0,opa,,
.opal,1,1,0,0,opal,,
.opencl,1,0,1,0,,opencl,
.opf,1,1,0,0,Opf,,
.opml,1,0,0,0,,,
.orc,1,1,0,0,csound,,
.org,1,1,0,0,Org,,
.os,1,0,1,0,,1c-enterprise,
.osm,1,0,1,0,,xml,
.outjob,1,1,0,0,Altium Designer,,
.overpassql,1,1,0,0,OverpassQL,,
.owl,1,1,0,0,Web Ontology Language,,
.ox,1,1,0,0,ox,,
.oxh,1,0,1,0,,ox,
.oxo,1,0,1,0,,ox,
.oxygene,1,1,0,0,oxygene,,
.oz,1,1,0,0,oz,,
.p,9,8,1,0,apex; matlab; objectscript; OpenEdge ABL; p; pascal; pawn; prolog,gnuplot,
.p4,1,1,0,0,p4,,
.p6,2,0,2,0,,raku; Raku (programming language),
.p6l,2,0,2,0,,raku; Raku (programming language),
.p6m,2,0,2,0,,raku; Raku (programming language),
.p8,1,0,1,0,,lua,
.pa,1,1,0,0,Cameleon (programming language),,
.pab,1,1,0,0,Pab,,
.pac,1,0,1,0,,javascript,
.pack,4,0,4,0,,cool; opencl; Proguard; qmake,
.pact,1,1,0,0,pact,,
.pan,1,1,0,0,pan,,
.parquet,1,1,0,0,parquet,,
.parrot,1,1,0,0,Parrot,,
.pas,3,3,0,0,delphi; pascal; pascal-abc.net,,
.pascal,1,0,1,0,,pascal,
.pasm,1,1,0,0,parrot-assembly,,
.pat,1,0,1,0,,max,
.patch,2,2,0,0,diff; patch,,
.pb,1,1,0,0,purebasic,,
.pbf,1,0,0,0,,,
.pbi,1,0,1,0,,purebasic,
.pbp,1,0,0,0,,,
.pbt,2,1,1,0,powerbuilder,Protocol Buffer Text Format,
.pbtxt,1,0,1,0,,Protocol Buffer Text Format,
.pc,1,1,0,0,pkgconfig,,
.pcbdoc,1,0,1,0,,Altium Designer,
.pck,1,0,1,0,,PLSQL,
.pcmk,1,0,1,0,,crmsh,
.pcss,1,1,0,0,postcss,,
.pd,1,1,0,0,Pure Data,,
.pd_lua,1,0,1,0,,lua,
.pddl,1,1,0,0,PDDL,,
.pde,1,1,0,0,processing,,
.pdf,1,1,0,0,pdf,,
.peg,1,1,0,0,peg,,
.peggy,1,0,1,0,,PEG.js,
.pegjs,1,1,0,0,PEG.js,,
.pem,3,1,2,0,ags-script,asciidoc; Public Key,
.pep,1,1,0,0,pep8,,
.per,1,1,0,0,Genero per,,
.perl,1,0,1,0,,perl,
.pfa,1,0,1,0,,postscript,
.pgml,2,1,0,0,Precision Graphics Markup Language,,
.pgn,1,1,0,0,Portable Game Notation,,
.pgsql,1,1,0,0,plpgsql,,
.ph,5,0,5,0,,cool; opencl; perl; Proguard; qmake,
.phar,1,1,0,0,php,,
.phd,1,1,0,0,PhD,,
.php,2,2,0,0,hack; php,,
.php3,1,1,0,0,php,,
.php4,1,1,0,0,php,,
.php5,1,1,0,0,php,,
.php7,1,1,0,0,php,,
.phps,1,1,0,0,php,,
.phpt,1,0,1,0,,php,
.pht,1,1,0,0,php,,
.phtml,2,2,0,0,HTML+PHP; php,,
.pi,2,1,0,0,Pi,,
.pic,2,1,1,0,pic,ilbm,
.pickle,1,0,0,0,,,
.pidl,1,0,1,0,,omg-idl,
.pig,2,2,0,0,pig; PigLatin,,
.pike,1,1,0,0,pike,,
.pipfile,1,0,1,0,,toml,
.pir,1,1,0,0,parrot-internal-representation,,
.pixi,1,1,0,0,Pixilang,,
.pixicode,1,1,0,0,Pixilang,,
.pkb,1,0,1,0,,PLSQL,
.pkgbuild,6,0,6,0,,bash; Gentoo Eclass; gentoo-ebuild; openrc-runscript; sh; Shell,
.pkgproj,1,0,1,0,,xml,
.pkl,2,2,0,0,Pickle; pkl,,
.pks,1,0,1,0,,PLSQL,
.pl,5,4,1,0,perl; prolog; raku; Raku (programming language),ECLiPSe,
.pl6,2,0,2,0,,raku; Raku (programming language),
.plantuml,1,0,1,0,,plantuml,
.plb,1,0,1,0,,PLSQL,
.plist,2,2,0,0,OpenStep Property List; XML Property List,,
.plot,1,1,0,0,gnuplot,,
.pls,2,1,0,0,PLSQL,,
.plsql,1,0,1,0,,PLSQL,
.plt,3,1,2,0,racket,gnuplot; prolog,
.pluginspec,2,0,2,0,,ruby; xml,
.plx,1,0,1,0,,perl,
.ply,1,1,0,0,ply,,
.pm,5,0,5,0,,perl; promela; raku; Raku (programming language); x-pixmap,
.pm6,2,0,2,0,,raku; Raku (programming language),
.pml,2,2,0,0,promela; x-pixmap,,
.pmml,1,0,0,0,,,
.pmod,1,0,1,0,,pike,
.png,1,1,0,0,png,,
.pnml,1,1,0,0,Petri Net Markup Language,,
.po,2,1,1,0,Gettext Catalog,po,
.pod,4,2,0,0,pod; Pod 6,,
.pod6,1,0,1,0,,Pod 6,
.podsl,1,0,1,0,,common-lisp,
.podspec,1,0,1,0,,ruby,
.pogo,1,1,0,0,pogoscript,,
.polar,1,1,0,0,Polar,,
.pom,1,1,0,0,maven-pom,,
.pony,2,2,0,0,pony; Pony (programming language),,
.por,1,1,0,0,Portugol,,
.portugol,2,0,2,0,,algol; Portugol,
.postcss,1,0,1,0,,postcss,
.pot,2,2,0,0,Gettext Catalog; po,,
.pov,4,4,0,0,bitbake; NASL; pov-ray-sdl; sourcepawn,,
.pp,3,3,0,0,delphi; pascal; puppet,,
.ppl,1,0,0,0,,,
.pprx,1,0,1,0,,rexx,
.ppsm,1,0,1,0,,ooxml,
.pptm,1,0,1,0,,ooxml,
.pptx,1,1,0,0,ooxml,,
