heuristic_id,applies_to_ext,priority,predicts_language,predicts_pl_id,pattern_kind,predicates_json,source
h/linguist/.bas/4,.bas,4,QuickBASIC,pl/quickbasic,predicates,"[{""kind"": ""any"", ""regexes"": [""^[ ]*(CONST|DIM|REDIM|DEFINT|PRINT|DECLARE (SUB|FUNCTION)|FUNCTION|SUB) "", ""(#|$)lang:?\\s*\""?qb\""?"", ""(?i)'\\$INCLUDE:"", ""(?i)^[ ]*CLS[ ]*('|:|\\r|\\n)"", ""(?i)^[ ]*OPTION _EXPLICIT"", ""(?i)^[ ]*DIM SHARED "", ""(?i)^[ ]*PRINT \"""", ""(?i) As _(Byte|Offset|MEM)"", ""(?i)^[ ]*_(DISPLAY|DEST|CONSOLE|SOURCE|FREEIMAGE|PALETTECOLOR|PRINTSTRING|LOADFONT|PUTIMAGE)"", ""(?i)^[ ]*_(TITLE|PLAYMOD) \"""", ""(?i)^[ ]*_(LIMIT|SCREEN|DELAY) \\.?\\d+"", ""(?i)\\b_(MOUSEBUTTON|NEWIMAGE|KEYDOWN|WIDTH|HEIGHT)\\("", ""(?i)^[ ]*\\$(CONSOLE|CHECKING):"", ""(?i)^[ ]*\\$(FULLSCREEN|RESIZE|STATIC|DYNAMIC|NOPREFIX|SCREENSHOW|SCREENHIDE|EXEICON)\\b""]}]",linguist/heuristics.yml
h/linguist/.bas/5,.bas,5,VBA,pl/vba,predicates,"[{""kind"": ""any"", ""regexes"": [""\\b(?:VBA|[vV]ba)(?:\\b|[0-9A-Z_])"", ""^[ ]*(?:Public|Private)? Declare PtrSafe (?:Sub|Function)\\b"", ""^[ ]*#If Win64\\b"", ""^[ ]*(?:Dim|Const) [0-9a-zA-Z_]*[ ]*As Long(?:Ptr|Long)\\b"", ""^[ ]*Option (?:Private Module|Compare Database)\\b"", ""(?: |\\()(?:Access|Excel|Outlook|PowerPoint|Visio|Word|VBIDE)\\.\\w"", ""\\b(?:(?:Active)?VBProjects?|VBComponents?|Application\\.(?:VBE|ScreenUpdating))\\b"", ""\\b(?:ThisDrawing|AcadObject|Active(?:Explorer|Inspector|Window\\.Presentation|Presentation|Document)|Selection\\.(?:Document|Find|Paragraphs|Range))\\b"", ""\\b(?:(?:This|Active)?Workbooks?|Worksheets?|Active(?:Sheet|Chart|Cell)|WorksheetFunction)\\b"", ""\\b(?:Range\\(\"".*|Cells\\([0-9a-zA-Z_]*, (?:[0-9a-zA-Z_]*|\""[a-zA-Z]{1,3}\""))\\)""]}]",linguist/heuristics.yml
h/linguist/.bas/6,.bas,6,Visual Basic 6.0,pl/visual-basic-6-0,predicates,"[{""kind"": ""any"", ""regexes"": [""^[ ]*Attribute VB_Name = ""]}]",linguist/heuristics.yml
h/linguist/.bb/0,.bb,0,BlitzBasic,pl/blitzbasic,predicates,"[{""kind"": ""any"", ""regexes"": [""(<^\\s*; |End Function)""]}]",linguist/heuristics.yml
h/linguist/.bb/1,.bb,1,BitBake,pl/bitbake,predicates,"[{""kind"": ""any"", ""regexes"": [""^(# |include|require|inherit)\\b""]}]",linguist/heuristics.yml
h/linguist/.bb/2,.bb,2,Clojure,pl/clojure,predicates,"[{""kind"": ""any"", ""regexes"": [""\\((def|defn|defmacro|let)\\s""]}]",linguist/heuristics.yml
h/linguist/.bf/0,.bf,0,Beef,pl/beef,predicates,"[{""kind"": ""any"", ""regexes"": [""(?-m)^\\s*using\\s+(System|Beefy)(\\.(.*))?;\\s*$""]}]",linguist/heuristics.yml
h/linguist/.bf/1,.bf,1,HyPhy,pl/hyphy,predicates,"[{""kind"": ""any"", ""regexes"": [""(?-m)^\\s*#include\\s+\"".*\"";\\s*$"", ""\\sfprintf\\s*\\(""]}]",linguist/heuristics.yml
h/linguist/.bf/2,.bf,2,Brainfuck,pl/brainfuck,predicates,"[{""kind"": ""any"", ""regexes"": [""(>\\+>|>\\+<)""]}]",linguist/heuristics.yml
h/linguist/.bi/0,.bi,0,FreeBASIC,pl/freebasic,predicates,"[{""kind"": ""any"", ""regexes"": [""(?i)^[ \\t]*#(?:define|endif|endmacro|ifn?def|include|lang|macro|pragma)(?:$|\\s)"", ""(?i)^[ \\t]*dim( shared)? [a-z_][a-z0-9_]* as [a-z_][a-z0-9_]* ptr""]}]",linguist/heuristics.yml
h/linguist/.bi/1,.bi,1,FreeBASIC,pl/freebasic,predicates,"[{""kind"": ""any"", ""regexes"": [""(?i)^[ \\t]*return ""]}, {""kind"": ""not_any"", ""regexes"": [""(?i)[ \\t]*gosub ""]}]",linguist/heuristics.yml
h/linguist/.bi/2,.bi,2,QuickBASIC,pl/quickbasic,predicates,"[{""kind"": ""any"", ""regexes"": [""^[ ]*(CONST|DIM|REDIM|DEFINT|PRINT|DECLARE (SUB|FUNCTION)|FUNCTION|SUB) "", ""(#|$)lang:?\\s*\""?qb\""?"", ""(?i)'\\$INCLUDE:"", ""(?i)^[ ]*CLS[ ]*('|:|\\r|\\n)"", ""(?i)^[ ]*OPTION _EXPLICIT"", ""(?i)^[ ]*DIM SHARED "", ""(?i)^[ ]*PRINT \"""", ""(?i) As _(Byte|Offset|MEM)"", ""(?i)^[ ]*_(DISPLAY|DEST|CONSOLE|SOURCE|FREEIMAGE|PALETTECOLOR|PRINTSTRING|LOADFONT|PUTIMAGE)"", ""(?i)^[ ]*_(TITLE|PLAYMOD) \"""", ""(?i)^[ ]*_(LIMIT|SCREEN|DELAY) \\.?\\d+"", ""(?i)\\b_(MOUSEBUTTON|NEWIMAGE|KEYDOWN|WIDTH|HEIGHT)\\("", ""(?i)^[ ]*\\$(CONSOLE|CHECKING):"", ""(?i)^[ ]*\\$(FULLSCREEN|RESIZE|STATIC|DYNAMIC|NOPREFIX|SCREENSHOW|SCREENHIDE|EXEICON)\\b""]}]",linguist/heuristics.yml
h/linguist/.bs/0,.bs,0,Bikeshed,pl/bikeshed,predicates,"[{""kind"": ""any"", ""regexes"": [""^(?i:<pre\\s+class)\\s*=\\s*('|\\\""|\\b)metadata\\b('|\\\""|\\b)[^>\\r\\n]*>""]}]",linguist/heuristics.yml
h/linguist/.bs/1,.bs,1,BrighterScript,pl/brighterscript,predicates,"[{""kind"": ""any"", ""regexes"": [""(?i:^\\s*(?:sub\\s*\\w+\\(.*?\\))|(?::\\s*sub\\(.*?\\))$)"", ""(?i:^\\s*(end\\ssub)$)"", ""(?i:^\\s*(?:function\\s*\\w+\\(.*?\\)\\s*as\\s*\\w*)|(?::\\s*function\\(.*?\\)\\s*as\\s*\\w*)$)"", ""(?i:^\\s*(end\\sfunction)$)""]}]",linguist/heuristics.yml
h/linguist/.bs/2,.bs,2,Bluespec BH,pl/bluespec-bh,predicates,"[{""kind"": ""any"", ""regexes"": [""^package\\s+[A-Za-z_][A-Za-z0-9_']*(?:\\s*\\(|\\s+where)""]}]",linguist/heuristics.yml
h/linguist/.bst/0,.bst,0,BibTeX Style,pl/bibtex-style,predicates,"[{""kind"": ""any"", ""regexes"": [""ENTRY\\s*\\{""]}]",linguist/heuristics.yml
h/linguist/.bst/1,.bst,1,BuildStream,pl/buildstream,default,[],linguist/heuristics.yml
h/linguist/.builds/0,.builds,0,XML,pl/xml,predicates,"[{""kind"": ""any"", ""regexes"": [""^(\\s*)(?i:<Project|<Import|<Property|<?xml|xmlns)""]}]",linguist/heuristics.yml
h/linguist/.cairo/0,.cairo,0,Cairo Zero,pl/cairo-zero,predicates,"[{""kind"": ""any"", ""regexes"": [""(^(\\s*)%lang(\\s+)([A-Za-z0-9_]+))|(^(\\s*)%builtins(\\s+)([A-Za-z0-9_]+\\s*)*$)|(^(\\s*)from(\\s+)starkware\\.(cairo|starknet)\\.([A-Za-z0-9_.\\s]+?)import)|(,\\s*ap\\+\\+;$)|(;\\s*ap\\+\\+$)""]}]",linguist/heuristics.yml
h/linguist/.cairo/1,.cairo,1,Cairo,pl/cairo,default,[],linguist/heuristics.yml
h/linguist/.ch/0,.ch,0,xBase,pl/xbase,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\s*#\\s*(?i:if|ifdef|ifndef|define|command|xcommand|translate|xtranslate|include|pragma|undef)\\b""]}]",linguist/heuristics.yml
h/linguist/.cl/0,.cl,0,Common Lisp,pl/common-lisp,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\s*\\((?i:defun|in-package|defpackage) ""]}]",linguist/heuristics.yml
h/linguist/.cl/1,.cl,1,Cool,pl/cool,predicates,"[{""kind"": ""any"", ""regexes"": [""^class""]}]",linguist/heuristics.yml
h/linguist/.cl/2,.cl,2,OpenCL,pl/opencl,predicates,"[{""kind"": ""any"", ""regexes"": [""\\/\\* |\\/\\/ |^\\}""]}]",linguist/heuristics.yml
h/linguist/.cls/0,.cls,0,Visual Basic 6.0,pl/visual-basic-6-0,predicates,"[{""kind"": ""any"", ""regexes"": [""^[ ]*VERSION [0-9]\\.[0-9] CLASS""]}, {""kind"": ""any"", ""regexes"": [""^\\s*BEGIN(?:\\r?\\n|\\r)\\s*MultiUse\\s*=.*(?:\\r?\\n|\\r)\\s*Persistable\\s*=""]}]",linguist/heuristics.yml
h/linguist/.cls/1,.cls,1,VBA,pl/vba,predicates,"[{""kind"": ""any"", ""regexes"": [""^[ ]*VERSION [0-9]\\.[0-9] CLASS""]}]",linguist/heuristics.yml
h/linguist/.cls/2,.cls,2,TeX,pl/tex,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\s*\\\\(?:NeedsTeXFormat|ProvidesClass)\\{""]}]",linguist/heuristics.yml
h/linguist/.cls/3,.cls,3,ObjectScript,pl/objectscript,predicates,"[{""kind"": ""any"", ""regexes"": [""^Class\\s""]}]",linguist/heuristics.yml
h/linguist/.cls/4,.cls,4,OpenEdge ABL,pl/openedge-abl,predicates,"[{""kind"": ""any"", ""regexes"": [""(?i)^\\s*(?:end\\s+(?:class|interface)\\.|(?:class|interface)\\s+[a-z_][a-z0-9_#$%&-]*:)""]}]",linguist/heuristics.yml
h/linguist/.cmp/0,.cmp,0,Gerber Image,pl/gerber-image,predicates,"[{""kind"": ""any"", ""regexes"": [""^[DGMT][0-9]{2}\\*(?:\\r?\\n|\\r)""]}]",linguist/heuristics.yml
h/linguist/.cs/0,.cs,0,Smalltalk,pl/smalltalk,predicates,"[{""kind"": ""any"", ""regexes"": [""![\\w\\s]+methodsFor: ""]}]",linguist/heuristics.yml
h/linguist/.cs/1,.cs,1,C#,pl/csharp,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\s*(using\\s+[A-Z][\\s\\w.]+;|namespace\\s*[\\w\\.]+\\s*(\\{|;)|\\/\\/)""]}]",linguist/heuristics.yml
h/linguist/.csc/0,.csc,0,GSC,pl/gsc,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\s*#\\s*(?:using|insert|include|define|namespace)[ \\t]+\\w"", ""^\\s*((?:autoexec|private)\\s+){0,2}function\\s+((?:autoexec|private)\\s+){0,2}\\w+\\s*\\("", ""\\b(?:level|self)[ \\t]+thread[ \\t]+(?:\\[\\[[ \\t]*(\\w+\\.)+[ \\t]*\\]\\]|\\w+)[ \\t]*\\([^\\r\\n\\)]*\\)[ \\t]*;"", ""^[ \\t]*#[ \\t]*(?:precache|using_animtree)[ \\t]*\\(""]}]",linguist/heuristics.yml
h/linguist/.csl/0,.csl,0,XML,pl/xml,predicates,"[{""kind"": ""any"", ""regexes"": [""(?i:^\\s*(<\\?xml|xmlns))""]}]",linguist/heuristics.yml
h/linguist/.csl/1,.csl,1,Kusto,pl/kusto,predicates,"[{""kind"": ""any"", ""regexes"": [""(^\\|\\s*(where|extend|project|limit|summarize))|(^\\.\\w+)""]}]",linguist/heuristics.yml
h/linguist/.d/0,.d,0,D,pl/d,predicates,"[{""kind"": ""any"", ""regexes"": [""^module\\s+[\\w.]*\\s*;|import\\s+[\\w\\s,.:]*;|\\w+\\s+\\w+\\s*\\(.*\\)(?:\\(.*\\))?\\s*\\{[^}]*\\}|unittest\\s*(?:\\(.*\\))?\\s*\\{[^}]*\\}""]}]",linguist/heuristics.yml
h/linguist/.d/1,.d,1,DTrace,pl/dtrace,predicates,"[{""kind"": ""any"", ""regexes"": [""^(\\w+:\\w*:\\w*:\\w*|BEGIN|END|provider\\s+|(tick|profile)-\\w+\\s+\\{[^}]*\\}|#pragma\\s+D\\s+(option|attributes|depends_on)\\s|#pragma\\s+ident\\s)""]}]",linguist/heuristics.yml
h/linguist/.d/2,.d,2,Makefile,pl/makefile,predicates,"[{""kind"": ""any"", ""regexes"": [""([\\/\\\\].*:\\s+.*\\s\\\\$|: \\\\$|^[ %]:|^[\\w\\s\\/\\\\.]+\\w+\\.\\w+\\s*:\\s+[\\w\\s\\/\\\\.]+\\w+\\.\\w+)""]}]",linguist/heuristics.yml
h/linguist/.dsp/0,.dsp,0,Microsoft Developer Studio Project,pl/microsoft-developer-studio-project,predicates,"[{""kind"": ""any"", ""regexes"": [""# Microsoft Developer Studio Generated Build File""]}]",linguist/heuristics.yml
h/linguist/.dsp/1,.dsp,1,Faust,pl/faust,predicates,"[{""kind"": ""any"", ""regexes"": [""\\bprocess\\s*[(=]|\\b(library|import)\\s*\\(\\s*\""|\\bdeclare\\s+(name|version|author|copyright|license)\\s+\""""]}]",linguist/heuristics.yml
h/linguist/.e/0,.e,0,E,pl/e,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\s*(def|var)\\s+(.+):="", ""^\\s*(def|to)\\s+(\\w+)(\\(.+\\))?\\s+\\{"", ""^\\s*(when)\\s+(\\(.+\\))\\s+->\\s+\\{""]}]",linguist/heuristics.yml
h/linguist/.e/1,.e,1,Eiffel,pl/eiffel,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\s*\\w+\\s*(?:,\\s*\\w+)*[:]\\s*\\w+\\s"", ""^\\s*\\w+\\s*(?:\\(\\s*\\w+[:][^)]+\\))?(?:[:]\\s*\\w+)?(?:--.+\\s+)*\\s+(?:do|local)\\s"", ""^\\s*(?:across|deferred|elseif|ensure|feature|from|inherit|inspect|invariant|note|once|require|undefine|variant|when)\\s*$""]}]",linguist/heuristics.yml
h/linguist/.e/2,.e,2,Euphoria,pl/euphoria,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\s*namespace\\s"", ""^\\s*(?:public\\s+)?include\\s"", ""^\\s*(?:(?:public|export|global)\\s+)?(?:atom|constant|enum|function|integer|object|procedure|sequence|type)\\s""]}]",linguist/heuristics.yml
h/linguist/.ecl/0,.ecl,0,ECLiPSe,pl/eclipse,predicates,"[{""kind"": ""any"", ""regexes"": [""^[^#]+:-""]}]",linguist/heuristics.yml
h/linguist/.ecl/1,.ecl,1,ECL,pl/ecl,predicates,"[{""kind"": ""any"", ""regexes"": ["":=""]}]",linguist/heuristics.yml
h/linguist/.es/0,.es,0,Erlang,pl/erlang,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\s*(?:%%|main\\s*\\(.*?\\)\\s*->)""]}]",linguist/heuristics.yml
h/linguist/.es/1,.es,1,JavaScript,pl/javascript,predicates,"[{""kind"": ""any"", ""regexes"": [""\\/\\/|[\""']use strict[\""']|export\\s+default\\s|\\/\\*(?:.|[\\r\\n])*?\\*\\/""]}]",linguist/heuristics.yml
h/linguist/.ex/0,.ex,0,Elixir,pl/elixir,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\s*@moduledoc\\s"", ""^\\s*(?:cond|import|quote|unless)\\s"", ""^\\s*def(?:exception|impl|macro|module|protocol)[(\\s]""]}]",linguist/heuristics.yml
h/linguist/.ex/1,.ex,1,Euphoria,pl/euphoria,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\s*namespace\\s"", ""^\\s*(?:public\\s+)?include\\s"", ""^\\s*(?:(?:public|export|global)\\s+)?(?:atom|constant|enum|function|integer|object|procedure|sequence|type)\\s""]}]",linguist/heuristics.yml
h/linguist/.f/0,.f,0,Forth,pl/forth,predicates,"[{""kind"": ""any"", ""regexes"": [""^: ""]}]",linguist/heuristics.yml
h/linguist/.f/1,.f,1,Filebench WML,pl/filebench-wml,predicates,"[{""kind"": ""any"", ""regexes"": [""flowop""]}]",linguist/heuristics.yml
h/linguist/.f/2,.f,2,Fortran,pl/fortran,predicates,"[{""kind"": ""any"", ""regexes"": [""^(?i:[c*][^abd-z]|      (subroutine|program|end|data)\\s|\\s*!)""]}]",linguist/heuristics.yml
h/linguist/.for/0,.for,0,Forth,pl/forth,predicates,"[{""kind"": ""any"", ""regexes"": [""^: ""]}]",linguist/heuristics.yml
h/linguist/.for/1,.for,1,Fortran,pl/fortran,predicates,"[{""kind"": ""any"", ""regexes"": [""^(?i:[c*][^abd-z]|      (subroutine|program|end|data)\\s|\\s*!)""]}]",linguist/heuristics.yml
h/linguist/.fr/0,.fr,0,Forth,pl/forth,predicates,"[{""kind"": ""any"", ""regexes"": [""^(: |also |new-device|previous )""]}]",linguist/heuristics.yml
h/linguist/.fr/1,.fr,1,Frege,pl/frege,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\s*(import|module|package|data|type) ""]}]",linguist/heuristics.yml
h/linguist/.fr/2,.fr,2,Text,pl/text,default,[],linguist/heuristics.yml
h/linguist/.frm/0,.frm,0,VBA,pl/vba,predicates,"[{""kind"": ""any"", ""regexes"": [""^[ ]*VERSION [0-9]\\.[0-9]{2}""]}, {""kind"": ""any"", ""regexes"": [""^\\s*Begin\\s+\\{[0-9A-Z\\-]*\\}\\s?""]}]",linguist/heuristics.yml
h/linguist/.frm/1,.frm,1,Visual Basic 6.0,pl/visual-basic-6-0,predicates,"[{""kind"": ""any"", ""regexes"": [""^[ ]*VERSION [0-9]\\.[0-9]{2}""]}, {""kind"": ""any"", ""regexes"": [""^\\s*Begin\\s+VB\\.Form\\s+""]}]",linguist/heuristics.yml
h/linguist/.frm/2,.frm,2,INI,pl/ini,predicates,"[{""kind"": ""any"", ""regexes"": [""\\ATYPE=VIEW""]}]",linguist/heuristics.yml
h/linguist/.fs/0,.fs,0,Forth,pl/forth,predicates,"[{""kind"": ""any"", ""regexes"": [""^(: |new-device)""]}]",linguist/heuristics.yml
h/linguist/.fs/1,.fs,1,F#,pl/f-sharp,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\s*(#light|import|let|module|namespace|open|type)""]}]",linguist/heuristics.yml
h/linguist/.fs/2,.fs,2,GLSL,pl/glsl,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\s*(#version|precision|uniform|varying|vec[234])""]}]",linguist/heuristics.yml
h/linguist/.fs/3,.fs,3,Filterscript,pl/filterscript,predicates,"[{""kind"": ""any"", ""regexes"": [""#include|#pragma\\s+(rs|version)|__attribute__""]}]",linguist/heuristics.yml
h/linguist/.ftl/0,.ftl,0,FreeMarker,pl/freemarker,predicates,"[{""kind"": ""any"", ""regexes"": [""^(?:<|[a-zA-Z-][a-zA-Z0-9_-]+[ \\t]+\\w)|\\$\\{\\w+[^\\r\\n]*?\\}|^[ \\t]*(?:<#--.*?-->|<#(?:[a-z]+)\\s[^>]*>.*?</#(?:[a-z]+)>|\\[#--.*?--\\]|\\[#(?:[a-z]+)\\s[^\\]]*\\].*?\\[#(?:[a-z]+)\\])""]}]",linguist/heuristics.yml
h/linguist/.ftl/1,.ftl,1,Fluent,pl/fluent,predicates,"[{""kind"": ""any"", ""regexes"": [""^-?[a-zA-Z][a-zA-Z0-9_-]* *=|\\{\\$-?[a-zA-Z][-\\w]*(?:\\.[a-zA-Z][-\\w]*)?\\}""]}]",linguist/heuristics.yml
h/linguist/.g/0,.g,0,GAP,pl/gap,predicates,"[{""kind"": ""any"", ""regexes"": [""\\s*(Declare|BindGlobal|KeyDependentOperation|Install(Method|GlobalFunction)|SetPackageInfo)""]}]",linguist/heuristics.yml
h/linguist/.g/1,.g,1,G-code,pl/g-code,predicates,"[{""kind"": ""any"", ""regexes"": [""^[MG][0-9]+(?:\\r?\\n|\\r)""]}]",linguist/heuristics.yml
h/linguist/.gd/0,.gd,0,GAP,pl/gap,predicates,"[{""kind"": ""any"", ""regexes"": [""\\s*(Declare|BindGlobal|KeyDependentOperation)""]}]",linguist/heuristics.yml
h/linguist/.gd/1,.gd,1,GDScript,pl/gdscript,predicates,"[{""kind"": ""any"", ""regexes"": [""\\s*(extends|var|const|enum|func|class|signal|tool|yield|assert|onready)""]}]",linguist/heuristics.yml
h/linguist/.gml/0,.gml,0,XML,pl/xml,predicates,"[{""kind"": ""any"", ""regexes"": [""(?i:^\\s*(<\\?xml|xmlns))""]}]",linguist/heuristics.yml
h/linguist/.gml/1,.gml,1,Graph Modeling Language,pl/graph-modeling-language,predicates,"[{""kind"": ""any"", ""regexes"": [""(?i:^\\s*(graph|node)\\s+\\[$)""]}]",linguist/heuristics.yml
h/linguist/.gml/2,.gml,2,Gerber Image,pl/gerber-image,predicates,"[{""kind"": ""any"", ""regexes"": [""^[DGMT][0-9]{2}\\*$""]}]",linguist/heuristics.yml
h/linguist/.gml/3,.gml,3,Game Maker Language,pl/game-maker-language,default,[],linguist/heuristics.yml
h/linguist/.gs/0,.gs,0,GLSL,pl/glsl,predicates,"[{""kind"": ""any"", ""regexes"": [""^#version\\s+[0-9]+\\b""]}]",linguist/heuristics.yml
h/linguist/.gs/1,.gs,1,Gosu,pl/gosu,predicates,"[{""kind"": ""any"", ""regexes"": [""^uses (java|gw)\\.""]}]",linguist/heuristics.yml
h/linguist/.gs/2,.gs,2,Genie,pl/genie,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\[indent=[0-9]+\\]""]}]",linguist/heuristics.yml
h/linguist/.gsc/0,.gsc,0,GSC,pl/gsc,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\s*#\\s*(?:using|insert|include|define|namespace)[ \\t]+\\w"", ""^\\s*((?:autoexec|private)\\s+){0,2}function\\s+((?:autoexec|private)\\s+){0,2}\\w+\\s*\\("", ""\\b(?:level|self)[ \\t]+thread[ \\t]+(?:\\[\\[[ \\t]*(\\w+\\.)+[ \\t]*\\]\\]|\\w+)[ \\t]*\\([^\\r\\n\\)]*\\)[ \\t]*;"", ""^[ \\t]*#[ \\t]*(?:precache|using_animtree)[ \\t]*\\(""]}]",linguist/heuristics.yml
h/linguist/.gsh/0,.gsh,0,GSC,pl/gsc,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\s*#\\s*(?:using|insert|include|define|namespace)[ \\t]+\\w"", ""^\\s*((?:autoexec|private)\\s+){0,2}function\\s+((?:autoexec|private)\\s+){0,2}\\w+\\s*\\("", ""\\b(?:level|self)[ \\t]+thread[ \\t]+(?:\\[\\[[ \\t]*(\\w+\\.)+[ \\t]*\\]\\]|\\w+)[ \\t]*\\([^\\r\\n\\)]*\\)[ \\t]*;"", ""^[ \\t]*#[ \\t]*(?:precache|using_animtree)[ \\t]*\\(""]}]",linguist/heuristics.yml
h/linguist/.gts/0,.gts,0,Gerber Image,pl/gerber-image,predicates,"[{""kind"": ""any"", ""regexes"": [""^G0.""]}]",linguist/heuristics.yml
h/linguist/.gts/1,.gts,1,Glimmer TS,pl/glimmer-ts,predicates,"[{""kind"": ""not_any"", ""regexes"": [""^G0.""]}]",linguist/heuristics.yml
h/linguist/.h/0,.h,0,Objective-C,pl/objective-c,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\s*(@(interface|class|protocol|property|end|synchronised|selector|implementation)\\b|#import\\s+.+\\.h[\"">])""]}]",linguist/heuristics.yml
h/linguist/.h/1,.h,1,C++,pl/cpp,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\s*#\\s*include <(cstdint|string|vector|map|list|array|bitset|queue|stack|forward_list|unordered_map|unordered_set|(i|o|io)stream)>"", ""^\\s*template\\s*<"", ""^[ \\t]*(try|constexpr)"", ""^[ \\t]*catch\\s*\\("", ""^[ \\t]*(class|(using[ \\t]+)?namespace)\\s+\\w+"", ""^[ \\t]*(private|public|protected):$"", ""__has_cpp_attribute|__cplusplus >"", ""std::\\w+""]}]",linguist/heuristics.yml
h/linguist/.h/2,.h,2,C,pl/c,default,[],linguist/heuristics.yml
h/linguist/.hh/0,.hh,0,Hack,pl/hack,predicates,"[{""kind"": ""any"", ""regexes"": [""<\\?hh""]}]",linguist/heuristics.yml
h/linguist/.html/0,.html,0,Ecmarkup,pl/ecmarkup,predicates,"[{""kind"": ""any"", ""regexes"": [""<emu-(?:alg|annex|biblio|clause|eqn|example|figure|gann|gmod|gprose|grammar|intro|not-ref|note|nt|prodref|production|rhs|table|t|xref)(?:$|\\s|>)""]}]",linguist/heuristics.yml
h/linguist/.html/1,.html,1,HTML,pl/html,default,[],linguist/heuristics.yml
h/linguist/.i/0,.i,0,Motorola 68K Assembly,pl/motorola-68k-assembly,predicates,"[{""kind"": ""any"", ""regexes"": [""(?im)\\bmoveq(?:\\.l)?\\s+#(?:\\$-?[0-9a-f]{1,3}|%[0-1]{1,8}|-?[0-9]{1,3}),\\s*d[0-7]\\b"", ""(?im)^\\s*move(?:\\.[bwl])?\\s+(?:sr|usp),\\s*[^\\s]+"", ""(?im)^\\s*move\\.[bwl]\\s+.*\\b[ad]\\d"", ""(?im)^\\s*movem\\.[bwl]\\b"", ""(?im)^\\s*move[mp](?:\\.[wl])?\\b"", ""(?im)^\\s*btst\\b"", ""(?im)^\\s*dbra\\b""]}]",linguist/heuristics.yml
h/linguist/.i/1,.i,1,SWIG,pl/swig,predicates,"[{""kind"": ""any"", ""regexes"": [""^[ \\t]*%[a-z_]+\\b|^%[{}]$""]}]",linguist/heuristics.yml
h/linguist/.i/2,.i,2,Assembly,pl/assembly,predicates,"[{""kind"": ""any"", ""regexes"": [""(?i)mov\\s+[^\\s]+,"", ""^\\s+(i?)db\\s+[a-z\\d]""]}]",linguist/heuristics.yml
h/linguist/.ice/0,.ice,0,JSON,pl/json,predicates,"[{""kind"": ""any"", ""regexes"": [""\\A\\s*[{\\[]""]}]",linguist/heuristics.yml
h/linguist/.ice/1,.ice,1,Slice,pl/slice,default,[],linguist/heuristics.yml
h/linguist/.inc/0,.inc,0,Motorola 68K Assembly,pl/motorola-68k-assembly,predicates,"[{""kind"": ""any"", ""regexes"": [""(?im)\\bmoveq(?:\\.l)?\\s+#(?:\\$-?[0-9a-f]{1,3}|%[0-1]{1,8}|-?[0-9]{1,3}),\\s*d[0-7]\\b"", ""(?im)^\\s*move(?:\\.[bwl])?\\s+(?:sr|usp),\\s*[^\\s]+"", ""(?im)^\\s*move\\.[bwl]\\s+.*\\b[ad]\\d"", ""(?im)^\\s*movem\\.[bwl]\\b"", ""(?im)^\\s*move[mp](?:\\.[wl])?\\b"", ""(?im)^\\s*btst\\b"", ""(?im)^\\s*dbra\\b""]}]",linguist/heuristics.yml
h/linguist/.inc/1,.inc,1,PHP,pl/php,predicates,"[{""kind"": ""any"", ""regexes"": [""^<\\?(?:php)?""]}]",linguist/heuristics.yml
h/linguist/.inc/2,.inc,2,SourcePawn,pl/sourcepawn,predicates,"[{""kind"": ""any"", ""regexes"": [""^public\\s+(?:SharedPlugin(?:\\s+|:)__pl_\\w+\\s*=(?:\\s*\\{)?|(?:void\\s+)?__pl_\\w+_SetNTVOptional\\(\\)(?:\\s*\\{)?)"", ""^methodmap\\s+\\w+\\s+<\\s+\\w+"", ""^\\s*MarkNativeAsOptional\\s*\\(""]}]",linguist/heuristics.yml
